Age,Gender,AnnualIncome,NumberOfPurchases,ProductCategory,TimeSpentOnWebsite,LoyaltyProgram,DiscountsAvailed,PurchaseStatus
40,1,66120.26793867795,8,0,30.56860115599193,0,5,1
20,1,23579.773583030514,4,2,38.240096605544196,0,5,0
27,1,127821.3064316501,11,2,31.633211501604148,1,0,1
24,1,137798.62311954965,19,3,46.167058811662955,0,4,1
31,1,99300.96422033315,19,1,19.823591862495636,0,0,1
66,1,37758.11747465244,14,4,17.827492934546594,0,2,0
39,1,126883.38528613503,16,3,42.085383519448804,1,4,1
64,1,39707.35972401292,13,2,17.190291539022134,1,0,0
43,0,102797.30126911662,20,1,6.023474556808846,0,3,0
20,1,63854.92107998205,16,0,38.57246639277682,0,5,1
66,1,66199.99392914612,11,1,1.4155319628243697,1,5,1
70,1,83556.71813301867,11,2,42.173999325776514,0,4,1
54,0,114467.22896914203,9,2,17.626043673393056,1,5,1
64,1,31880.893223130934,17,0,22.753472516233717,1,1,0
19,1,107485.66091127621,7,1,28.26032122753378,1,4,1
70,1,67049.59880892246,2,4,21.895097608810204,0,0,0
51,1,129174.20886637547,13,4,21.808776090014348,0,0,1
18,1,128374.49505188613,0,2,16.768262423676642,0,4,0
57,0,71740.68808408537,12,2,40.69672742492697,0,2,0
20,0,121499.00618889718,12,3,21.240052218659386,1,0,1
59,0,92768.23887298974,3,2,1.037023481078914,0,5,0
19,0,116945.39175506018,17,3,5.953791243356875,0,5,1
46,1,133256.58269419678,7,2,41.685400866460554,0,2,0
22,1,56597.755793940894,16,4,14.827835349994656,1,1,1
31,0,78117.2206948353,13,0,30.353469185591578,0,1,1
62,0,108227.09436743343,18,3,10.39038595563596,0,2,0
67,1,102252.54423731811,14,1,44.49593419070698,0,5,1
66,0,97875.7963295496,17,1,54.593550364371815,0,2,1
67,1,23792.06927388438,15,4,28.64750679716908,1,5,0
48,1,138727.3031849108,9,0,13.71525859531836,0,2,0
52,1,42589.00710764669,1,1,3.626033317294109,1,5,0
63,0,80023.09869570548,11,2,44.969247684174036,0,0,0
36,0,144947.6131029871,12,1,26.151565326802128,0,4,1
37,0,101842.50059592575,16,3,17.34032246935198,0,1,0
25,0,139395.43617890312,1,0,1.64978814180084,0,2,0
40,1,107419.86474325375,15,2,28.881975329587483,0,5,1
53,1,93069.46327233424,12,3,44.39322491166161,1,0,1
30,0,52154.24105648084,15,1,18.966868159931614,0,2,0
66,0,124009.22593089074,7,4,52.24461701636442,0,0,0
43,0,48046.28829293903,5,2,29.539116111052078,1,0,0
43,1,43303.22954801271,13,3,2.7576397379247086,0,5,0
68,0,64874.98710424737,9,1,42.14942186169406,0,4,1
59,0,123832.8449150947,7,2,49.28016124284287,0,1,0
45,1,99978.52697003141,15,2,40.62795362887603,1,0,1
50,1,57327.93455099482,20,1,30.655176821653956,1,3,1
61,1,114517.37901000072,12,1,30.98195957429383,0,0,0
62,0,67931.93221242339,11,4,58.26272557298126,0,5,1
53,1,67808.71561404766,17,0,32.09595923306126,0,5,1
18,1,129969.78715810517,14,1,15.87649339449767,0,4,1
47,1,104216.2679787687,13,1,56.84931579392198,1,4,1
52,0,40534.12696859524,1,1,54.28825075264435,0,2,0
25,0,29263.374609483617,2,3,13.278256041185994,0,4,0
18,1,38570.537349109014,5,3,23.847516844005025,0,5,0
40,0,33711.580994361975,16,4,11.79069013105145,1,4,0
22,0,32401.90605071738,10,0,42.616025841452974,0,3,1
35,0,80147.82865850115,12,2,40.97033790015843,0,0,1
32,1,90421.62561330052,15,3,58.75625381107409,0,0,1
42,1,108080.49476966391,9,1,21.041864490295637,0,3,0
47,1,75279.6641069002,8,2,51.850939535977176,0,4,1
31,0,95411.5485070291,12,0,57.810606416504214,1,2,1
33,1,26258.568677185947,19,3,12.922775229104726,0,5,0
23,0,118155.45073701617,16,2,1.4036041407534494,0,2,0
52,1,116034.00959445363,0,4,21.42040150970005,1,3,1
66,1,118928.7988036522,16,1,41.05435289413832,0,2,0
55,0,56724.488576470794,15,0,54.99486114049874,0,4,1
59,1,77136.51952227831,6,3,54.91870112898598,0,3,1
62,1,62288.367422994044,8,0,11.599760984373914,0,0,0
40,1,124336.13834537567,10,2,6.458480649802572,0,0,0
57,1,56722.23671701347,1,3,7.736843033990797,1,1,0
45,1,101410.4617847383,19,4,25.433759360166803,1,2,0
33,1,53837.29148358039,16,4,18.611092786422834,1,4,1
70,0,119425.2741173894,4,3,45.35588065466813,0,5,0
43,0,86607.29108095278,14,4,40.27337953693163,0,2,0
42,1,25069.481634738506,15,1,1.7973048960647717,0,1,0
43,1,66806.56056712719,20,4,55.59200349279615,1,0,1
65,0,36226.70581569028,12,4,30.7072971665818,1,1,0
68,1,118640.91298845227,13,2,11.475917263080143,0,5,0
40,1,118450.32692747706,9,3,43.45517426021217,1,5,1
64,1,118052.2737586705,11,3,56.20920642994847,0,3,1
24,1,22837.041580813635,17,2,18.841348677931414,0,4,0
22,1,86465.81008609766,20,2,53.63147275237195,0,3,1
