UserID,DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency
1,Smart Speaker,15.30718848124909,1.9616068166289793,1,4,36,1
2,Camera,19.9733432937798,8.610688921898104,1,0,29,1
3,Security System,18.91153466115779,2.651776634718286,1,0,20,1
4,Camera,7.011127368264892,2.341653090367735,0,3,15,0
5,Camera,22.6106839846413,4.859069159195124,1,3,36,1
6,Thermostat,3.422127273625453,5.038625135068315,1,0,3,1
7,Security System,21.065640037597074,2.2293437649724193,0,0,56,0
8,Security System,23.317095865708534,2.791421194586566,0,0,53,0
9,Security System,4.663107795731701,1.780081867636925,1,2,23,1
10,Camera,17.468552508788953,7.212755765399351,1,4,58,0
11,Smart Speaker,1.446709691282964,7.7238814094154105,0,3,54,0
12,Security System,10.027436390770141,4.677052124846898,0,3,46,0
13,Camera,12.63265753114534,7.169461524581672,1,1,9,1
14,Thermostat,14.145162808876401,7.38576038018071,0,2,30,0
15,Smart Speaker,22.49452533384115,1.4689277240103051,0,0,19,1
16,Thermostat,16.297891151413573,9.665162445861913,1,0,38,1
17,Smart Speaker,11.81003185365207,8.228216276254667,1,2,3,1
18,Camera,19.5273633522484,2.1243862658386528,0,3,50,0
19,Lights,22.83752129242861,1.9430338538860956,1,0,48,1
20,Smart Speaker,1.0185544940338347,1.3440453412378692,1,1,3,1
21,Thermostat,23.58924989801691,1.469947769164992,1,3,34,1
22,Camera,2.5241052679964877,7.506801810384092,1,4,2,0
23,Smart Speaker,19.638089312815893,4.749577143821073,1,2,58,1
24,Lights,7.087866684958193,7.8510483101246855,0,3,27,0
25,Lights,3.606221957215986,7.487923454067033,0,4,23,0
26,Security System,10.83660753327512,6.085665863701694,1,1,42,0
27,Security System,15.632979617018918,6.895029405128927,1,2,32,1
28,Thermostat,9.452368358051663,0.28172167135350373,1,0,47,1
29,Smart Speaker,1.7822870946434255,3.1865987033697176,0,0,35,0
30,Smart Speaker,14.58733678197984,6.414439574668161,0,4,40,0
31,Security System,21.706476988600855,0.1925150395138176,0,3,18,0
32,Smart Speaker,9.505561099760415,0.4264717424576747,0,1,27,0
33,Smart Speaker,5.583820274324435,8.533691026456793,1,4,11,0
34,Lights,10.900567629421161,6.871846130751511,1,1,39,0
35,Security System,1.6365237096463505,2.7271603578914054,0,1,19,0
36,Camera,19.781458235286458,6.910832117175219,0,1,25,0
37,Security System,19.91900905732939,7.945321024478706,1,2,7,1
38,Camera,14.318010890596268,3.1372634027900026,1,4,31,1
39,Lights,8.797917890052153,0.45677003724195575,1,2,57,1
40,Thermostat,19.29490906447591,9.334513334408571,1,3,2,1
41,Smart Speaker,13.535145082526629,3.517280399126742,1,3,38,1
42,Lights,19.909409250925382,1.1541694565185932,0,0,5,1
43,Smart Speaker,15.339281625700984,4.969383026792159,1,0,14,1
44,Thermostat,18.933528620500738,7.707831177074925,0,0,18,0
45,Thermostat,14.56623034061736,2.2943084147138357,0,3,36,0
46,Lights,10.232315103068157,2.7679514963202974,1,1,4,1
47,Thermostat,23.01172770826423,2.5028783693059733,0,1,24,0
48,Camera,13.216174884652851,9.917563223033614,0,4,13,0
