,content,sentiment
0,alonzo feels angry,anger
1,alonzo feels furious,anger
2,alonzo feels irritated,anger
3,alonzo feels enraged,anger
4,alonzo feels annoyed,anger
5,alonzo feels sad,sadness
6,alonzo feels depressed,sadness
7,alonzo feels devastated,sadness
8,alonzo feels miserable,sadness
9,alonzo feels dissapointed,sadness
10,alonzo feels terrified,fear
11,alonzo feels discouraged,fear
12,alonzo feels scared,fear
13,alonzo feels anxious,fear
14,alonzo feels fearful,fear
15,alonzo feels happy,joy
16,alonzo feels ecstatic,joy
17,alonzo feels glad,joy
18,alonzo feels relieved,joy
19,alonzo feels excited,joy
20,jamel feels angry,anger
21,jamel feels furious,anger
22,jamel feels irritated,anger
23,jamel feels enraged,anger
24,jamel feels annoyed,anger
25,jamel feels sad,sadness
26,jamel feels depressed,sadness
27,jamel feels devastated,sadness
28,jamel feels miserable,sadness
29,jamel feels dissapointed,sadness
30,jamel feels terrified,fear
31,jamel feels discouraged,fear
32,jamel feels scared,fear
33,jamel feels anxious,fear
34,jamel feels fearful,fear
35,jamel feels happy,joy
36,jamel feels ecstatic,joy
37,jamel feels glad,joy
38,jamel feels relieved,joy
39,jamel feels excited,joy
40,alphonse feels angry,anger
41,alphonse feels furious,anger
42,alphonse feels irritated,anger
43,alphonse feels enraged,anger
44,alphonse feels annoyed,anger
45,alphonse feels sad,sadness
46,alphonse feels depressed,sadness
47,alphonse feels devastated,sadness
48,alphonse feels miserable,sadness
49,alphonse feels dissapointed,sadness
50,alphonse feels terrified,fear
51,alphonse feels discouraged,fear
52,alphonse feels scared,fear
53,alphonse feels anxious,fear
54,alphonse feels fearful,fear
55,alphonse feels happy,joy
56,alphonse feels ecstatic,joy
57,alphonse feels glad,joy
58,alphonse feels relieved,joy
59,alphonse feels excited,joy
60,jerome feels angry,anger
61,jerome feels furious,anger
62,jerome feels irritated,anger
63,jerome feels enraged,anger
64,jerome feels annoyed,anger
65,jerome feels sad,sadness
66,jerome feels depressed,sadness
67,jerome feels devastated,sadness
68,jerome feels miserable,sadness
69,jerome feels dissapointed,sadness
70,jerome feels terrified,fear
71,jerome feels discouraged,fear
72,jerome feels scared,fear
73,jerome feels anxious,fear
74,jerome feels fearful,fear
75,jerome feels happy,joy
76,jerome feels ecstatic,joy
77,jerome feels glad,joy
78,jerome feels relieved,joy
79,jerome feels excited,joy
80,leroy feels angry,anger
81,leroy feels furious,anger
82,leroy feels irritated,anger
83,leroy feels enraged,anger
84,leroy feels annoyed,anger
85,leroy feels sad,sadness
86,leroy feels depressed,sadness
87,leroy feels devastated,sadness
88,leroy feels miserable,sadness
89,leroy feels dissapointed,sadness
90,leroy feels terrified,fear
91,leroy feels discouraged,fear
92,leroy feels scared,fear
93,leroy feels anxious,fear
94,leroy feels fearful,fear
95,leroy feels happy,joy
96,leroy feels ecstatic,joy
