Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
SR Tendulkar (INDIA),1989-2012,463,452,41,18426,200*,44.83,21367,86.23,49,96,20
KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15
RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20
ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34
DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28
Inzamam-ul-Haq (Asia/PAK),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20
JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17
SC Ganguly (Asia/INDIA),1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16
R Dravid (Asia/ICC/INDIA),1996-2011,344,318,40,10889,153,39.16,15284,71.24,12,83,13
BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16
TM Dilshan (SL),1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11
Mohammad Yousuf (Asia/PAK),1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15
AC Gilchrist (AUS/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19
MS Dhoni (Asia/INDIA),2004-2017,295,255,70,9496,183*,51.32,10706,88.69,10,64,8
M Azharuddin (INDIA),1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9
AB de Villiers (Afr/SA),2005-2017,222,213,39,9319,162*,53.55,9295,100.25,24,53,7
PA de Silva (SL),1984-2003,308,296,30,9284,145,34.9,11443,81.13,11,64,17
CH Gayle (ICC/WI),1999-2015,269,264,17,9221,215,37.33,10834,85.11,22,47,23
Saeed Anwar (PAK),1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15
S Chanderpaul (WI),1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6
Yuvraj Singh (Asia/INDIA),2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18
DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13
MS Atapattu (SL),1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13
ME Waugh (AUS),1988-2002,244,236,20,8500,173,39.35,11053,76.9,18,50,16
V Sehwag (Asia/ICC/INDIA),1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14
V Kohli (INDIA),2008-2017,188,180,29,8146,183,53.94,8952,90.99,27,43,11
HH Gibbs (SA),1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,369,27,8064,124,23.57,6892,117,6,39,30
SP Fleming (ICC/NZ),1994-2007,280,269,21,8037,134*,32.4,11242,71.49,8,49,17
MJ Clarke (AUS),2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10
SR Waugh (AUS),1986-2002,325,288,58,7569,120*,32.9,9971,75.91,3,45,15
A Ranatunga (SL),1982-1999,269,255,47,7456,131*,35.84,9571,77.9,4,49,18
Javed Miandad (PAK),1975-1996,233,218,41,7381,119*,41.7,11014,67.01,8,50,8
Younis Khan (PAK),2000-2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22
HM Amla (SA),2008-2017,156,153,10,7186,159,50.25,8069,89.05,25,33,3
Saleem Malik (PAK),1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19
NJ Astle (NZ),1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19
GC Smith (Afr/SA),2002-2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8
MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5
G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11
A Flower (ZIM),1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13
Shoaib Malik (PAK),1999-2017,252,228,36,6765,143,35.23,8278,81.72,9,39,13
IVA Richards (WI),1975-1991,187,167,24,6721,189*,47,7451,90.2,11,45,7
GW Flower (ZIM),1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18
Ijaz Ahmed (PAK),1986-2000,250,232,29,6564,139*,32.33,8174,80.3,10,37,14
AR Border (AUS),1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11
LRPL Taylor (NZ),2006-2017,190,176,29,6486,131*,44.12,7906,82.03,17,37,9
RB Richardson (WI),1983-1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8
WU Tharanga (Asia/SL),2005-2017,204,193,14,6140,174*,34.3,8183,75.03,14,34,15
ML Hayden (AUS/ICC),1993-2008,161,155,15,6133,181*,43.8,7767,78.96,10,36,9
BB McCullum (NZ),2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20
DM Jones (AUS),1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6
DC Boon (AUS),1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6
JN Rhodes (SA),1992-2003,245,220,51,5935,121,35.11,7336,80.9,2,33,12
Mohammad Hafeez (PAK),2003-2017,190,190,12,5876,140*,33.01,7774,75.58,11,32,16
Rameez Raja (PAK),1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15
RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8
EJG Morgan (ENG/IRE),2006-2017,185,174,25,5772,124*,38.73,6513,88.62,11,34,12
CL Hooper (WI),1987-2003,227,206,43,5761,113*,35.34,7517,76.63,7,29,7
SR Watson (AUS),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12
Tamim Iqbal (BDESH),2007-2017,173,171,4,5743,154,34.38,7333,78.31,9,38,16
SK Raina (INDIA),2005-2015,223,192,35,5568,116*,35.46,5938,93.76,5,36,14
WJ Cronje (SA),1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8
MJ Guptill (NZ),2009-2017,146,143,16,5500,237*,43.3,6269,87.73,12,32,12
MEK Hussey (AUS),2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3
RG Sharma (INDIA),2007-2017,158,152,24,5435,264,42.46,6427,84.56,11,31,11
IR Bell (ENG),2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6
A Jadeja (INDIA),1992-2000,196,179,36,5359,119,37.47,7677,69.8,6,30,10
DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10
BRM Taylor (ZIM),2004-2015,167,166,15,5258,145*,34.82,7060,74.47,8,32,13
G Gambhir (INDIA),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11
ADR Campbell (ZIM),1992-2003,188,184,14,5185,131*,30.5,7834,66.18,7,30,11
MN Samuels (WI),2000-2016,187,177,26,5180,133*,34.3,6794,76.24,10,28,10
RS Mahanama (SL),1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15
CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3
