,name,description,language,stars,forks,labels,issues,contents
0,3-Python-Projects,,Python,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2EB1520>,<github.PaginatedList.PaginatedList object at 0x0000023EE2EB27B0>,"[ContentFile(path=""README.md""), ContentFile(path=""multiclipboard.py""), ContentFile(path=""send_email.py""), ContentFile(path=""weather.py"")]"
1,5-Python-Projects-For-Beginners,,Python,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2EB2AB0>,<github.PaginatedList.PaginatedList object at 0x0000023EE2EB33E0>,"[ContentFile(path=""README.md""), ContentFile(path=""choose_your_own_adventure.py""), ContentFile(path=""key.key""), ContentFile(path=""number_guesser.py""), ContentFile(path=""password_manager.py""), ContentFile(path=""passwords.txt""), ContentFile(path=""quiz_game.py""), ContentFile(path=""rock_paper_scissors.py"")]"
2,Blog-website-Django-Python,,Python,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2EA4800>,<github.PaginatedList.PaginatedList object at 0x0000023EE2E84050>,"[ContentFile(path=""blog""), ContentFile(path=""db.sqlite3""), ContentFile(path=""manage.py""), ContentFile(path=""media""), ContentFile(path=""mydjangoProject1""), ContentFile(path=""posts.json""), ContentFile(path=""users"")]"
3,Books-Recommender-System-Using-Machine-Learning,,Jupyter Notebook,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2E842C0>,<github.PaginatedList.PaginatedList object at 0x0000023EE2E85580>,"[ContentFile(path="".gitignore""), ContentFile(path=""Books Recommender.ipynb""), ContentFile(path=""Procfile""), ContentFile(path=""app.py""), ContentFile(path=""artifacts""), ContentFile(path=""data""), ContentFile(path=""demo"")]"
4,brainwave,,JavaScript,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2EA62D0>,<github.PaginatedList.PaginatedList object at 0x0000023EE2E859A0>,"[ContentFile(path="".eslintrc.cjs""), ContentFile(path="".gitignore""), ContentFile(path=""README.md""), ContentFile(path=""index.html""), ContentFile(path=""package-lock.json""), ContentFile(path=""package.json""), ContentFile(path=""postcss.config.js""), ContentFile(path=""public""), ContentFile(path=""src""), ContentFile(path=""tailwind.config.js""), ContentFile(path=""vite.config.js"")]"
5,Crop-Recommendation-System,,Jupyter Notebook,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2E857F0>,<github.PaginatedList.PaginatedList object at 0x0000023EE2E647A0>,"[ContentFile(path=""Crop_recommendation.csv""), ContentFile(path=""Pickle_RL_Model.pkl""), ContentFile(path=""README.md""), ContentFile(path=""crop_app""), ContentFile(path=""crop_appp""), ContentFile(path=""crop_prediction_app.ipynb"")]"
6,Data-Visualization-with-Seaborn,,Jupyter Notebook,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2E651C0>,<github.PaginatedList.PaginatedList object at 0x0000023EE2E659A0>,"[ContentFile(path=""Data Visualization with Seaborn.ipynb""), ContentFile(path=""README.md"")]"
7,EDA-and-Diabetes-Prediction-using-KNN,,Jupyter Notebook,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2E663C0>,<github.PaginatedList.PaginatedList object at 0x0000023EE2E65D90>,"[ContentFile(path=""Diabetes_Prediction_using_KNN(Includes_EDA).ipynb""), ContentFile(path=""README.md""), ContentFile(path=""diabetes.csv"")]"
8,employee-management-spring-angular,,TypeScript,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2E64E90>,<github.PaginatedList.PaginatedList object at 0x0000023EE2E66F30>,"[ContentFile(path=""README.md""), ContentFile(path=""angular-frontend""), ContentFile(path=""springboot-backend"")]"
9,GitHub-Finder,,JavaScript,0,0,<github.PaginatedList.PaginatedList object at 0x0000023EE2E66930>,<github.PaginatedList.PaginatedList object at 0x0000023EE2E67B00>,"[ContentFile(path=""app.js""), ContentFile(path=""github.js""), ContentFile(path=""index.html""), ContentFile(path=""ui.js"")]"
