,Year,Max,Max-Country,Max-Code,Min,Min-Country,Min-Code
0,1961,1.892,Finland,FI,-0.694,Niger,NE
1,1962,0.998,Syrian Arab Rep.,SY,-0.908,"Netherlands, The",NL
2,1963,1.202,Mongolia,MN,-1.27,"Netherlands, The",NL
3,1964,1.097,Iceland,IS,-0.877,Hungary,HU
4,1965,0.857,Mongolia,MN,-1.064,"Poland, Rep. of",PL
5,1966,1.151,Bulgaria,BG,-1.801,Finland,FI
6,1967,1.134,"Poland, Rep. of",PL,-1.048,Jordan,JO
7,1968,0.476,Canada,CA,-1.634,Finland,FI
8,1969,0.939,Cabo Verde,CV,-0.9,Iceland,IS
9,1970,0.978,"Iran, Islamic Rep. of",IR,-1.288,"Poland, Rep. of",PL
10,1971,0.684,New Zealand,NZ,-0.87,Switzerland,CH
11,1972,0.933,Finland,FI,-1.796,Canada,CA
12,1973,1.145,Sweden,SE,-0.987,Greenland,GL
13,1974,1.121,Finland,FI,-0.982,Saint Pierre and Miquelon,PM
14,1975,1.893,Finland,FI,-1.093,Greenland,GL
15,1976,0.729,United Kingdom,GB,-0.959,"Iran, Islamic Rep. of",IR
16,1977,1.079,Canada,CA,-0.552,Norway,NO
17,1978,0.908,Mongolia,MN,-0.871,Hungary,HU
18,1979,1.291,Kuwait,KW,-1.239,Iceland,IS
19,1980,0.97,Mali,ML,-0.76,"Poland, Rep. of",PL
20,1981,1.562,Canada,CA,-0.909,Iceland,IS
21,1982,1.135,Mongolia,MN,-0.682,Greenland,GL
22,1983,1.623,"Mauritania, Islamic Rep. of",MR,-2.062,Greenland,GL
23,1984,0.853,Namibia,NP,-1.455,Greenland,GL
24,1985,0.891,Greenland,GL,-1.193,Romania,RO
25,1986,0.835,Paraguay,PY,-0.765,"Korea, Rep. of",KR
26,1987,1.562,Canada,CA,-1.652,Finland,FI
27,1988,1.336,Tunisia,TN,-0.504,South Africa,ZA
28,1989,2.179,Finland,FI,-1.537,Greenland,GL
29,1990,1.843,Denmark,DK,-0.739,Saint Pierre and Miquelon,PM
30,1991,1.138,Finland,FI,-0.7,Saint Pierre and Miquelon,PM
31,1992,1.452,"Poland, Rep. of",PL,-1.344,Saint Pierre and Miquelon,PM
32,1993,1.097,Iceland,IS,-1.355,Greenland,GL
33,1994,1.958,Austria,AT,-0.425,Djibouti,DJ
34,1995,1.701,Finland,FI,-0.33,Tuvalu,TV
35,1996,1.598,Cabo Verde,CV,-0.787,"Poland, Rep. of",PL
36,1997,1.933,Mongolia,MN,-0.422,Ecuador,EC
37,1998,2.47,Canada,CA,-0.258,Saint Helena,SH
38,1999,2.064,Kuwait,KW,-0.232,Ghana,GH
39,2000,2.024,Finland,FI,-0.718,Botswana,BW
40,2001,1.992,Tunisia,TN,-0.186,Germany,DE
41,2002,1.786,Mongolia,MN,0.009,Panama,PA
42,2003,2.328,Greenland,GL,0.045,Djibouti,DJ
43,2004,1.76,Mongolia,MN,-0.133,Colombia,CO
44,2005,2.201,Finland,FI,0.103,"Mauritania, Islamic Rep. of",MR
45,2006,2.343,Canada,CA,-0.505,West Bank and Gaza,PS
46,2007,2.729,Mongolia,MN,-0.219,Jamaica,JM
47,2008,2.13,Finland,FI,0.078,"China, P.R.: Mainland",CN
48,2009,1.695,"Poland, Rep. of",PL,-0.319,Pakistan,PK
49,2010,3.058,Greenland,GL,-0.341,Guadeloupe,GP
50,2011,1.698,Morocco,MA,-0.478,Oman,OM
51,2012,2.144,Canada,CA,-0.128,Lao People's Dem. Rep.,LA
52,2013,1.642,"Iran, Islamic Rep. of",IR,0.118,Djibouti,DJ
53,2014,2.704,Sweden,SE,-0.092,Sri Lanka,LK
54,2015,2.613,Finland,FI,-0.43,Norway,NO
55,2016,2.381,Greenland,GL,0.25,Algeria,DZ
56,2017,2.493,Mongolia,MN,0.017,Brazil,BR
57,2018,2.524,Austria,AT,0.238,"Equatorial Guinea, Rep. of",GQ
58,2019,2.652,"Poland, Rep. of",PL,0.05,Liberia,LR
59,2020,3.317,Finland,FI,0.229,Sri Lanka,LK
60,2021,2.676,Kuwait,KW,-0.425,Djibouti,DJ
61,2022,3.243,"Andorra, Principality of",AD,-1.305,Botswana,BW
