iter	Passed	Remaining
0	8	8688
1	17	8917
2	25	8436
3	33	8282
4	40	8134
5	48	7997
6	55	7931
7	63	7867
8	71	7824
9	78	7803
10	87	7868
11	99	8175
12	109	8280
13	118	8313
14	126	8276
15	133	8207
16	141	8160
17	148	8110
18	156	8069
19	164	8053
20	172	8027
21	179	7998
22	187	7963
23	195	7938
24	202	7905
25	210	7876
26	217	7845
27	225	7822
28	233	7815
29	240	7792
30	248	7778
31	256	7759
32	264	7739
33	271	7716
34	279	7695
35	286	7670
36	293	7651
37	301	7633
38	309	7622
39	317	7608
40	324	7592
41	332	7589
42	340	7572
43	347	7555
44	355	7541
45	362	7527
46	370	7514
47	378	7497
48	385	7489
49	393	7470
50	400	7452
51	407	7434
52	415	7419
53	422	7408
54	430	7395
55	437	7381
56	445	7371
57	452	7356
58	460	7343
59	467	7326
60	475	7314
61	482	7300
62	490	7291
63	497	7279
64	505	7267
65	512	7255
66	520	7246
67	527	7235
68	535	7226
69	543	7214
70	550	7200
71	557	7188
72	565	7180
73	572	7166
74	580	7157
75	587	7145
76	595	7135
77	602	7125
78	610	7116
79	617	7106
80	625	7094
81	632	7080
82	639	7069
83	647	7060
84	654	7049
85	662	7041
86	670	7032
87	677	7024
88	685	7018
89	693	7013
90	701	7004
91	708	6996
92	716	6987
93	723	6977
94	731	6968
95	739	6961
96	747	6958
97	755	6949
98	762	6941
99	770	6930
100	777	6920
101	784	6910
102	792	6900
103	800	6892
104	807	6884
105	815	6877
106	822	6866
107	829	6854
108	837	6845
109	845	6837
110	852	6827
111	860	6819
112	867	6812
113	875	6804
114	882	6794
115	890	6784
116	897	6772
117	904	6763
118	912	6753
119	919	6745
120	927	6736
121	935	6729
122	942	6720
123	949	6708
124	956	6698
125	964	6690
126	971	6681
127	979	6673
128	987	6665
129	995	6659
130	1002	6653
131	1010	6647
132	1018	6642
133	1026	6634
134	1033	6624
135	1041	6615
136	1048	6607
137	1056	6598
138	1063	6588
139	1071	6579
140	1078	6571
141	1086	6564
142	1093	6554
143	1101	6547
144	1109	6539
145	1116	6530
146	1123	6520
147	1130	6510
148	1138	6502
149	1146	6494
150	1153	6486
151	1161	6478
152	1168	6469
153	1176	6461
154	1183	6454
155	1191	6448
156	1199	6442
157	1208	6439
158	1217	6440
159	1226	6438
160	1234	6434
161	1242	6425
162	1249	6415
163	1256	6406
164	1264	6398
165	1272	6390
166	1279	6380
167	1286	6372
168	1294	6364
169	1301	6354
170	1308	6345
171	1316	6338
172	1324	6329
173	1331	6320
174	1338	6311
175	1346	6302
176	1353	6293
177	1360	6284
178	1368	6276
179	1376	6269
180	1383	6261
181	1391	6252
182	1398	6244
183	1406	6237
184	1413	6226
185	1420	6217
186	1428	6209
187	1435	6200
188	1443	6191
189	1450	6182
190	1457	6174
191	1465	6167
192	1472	6158
193	1480	6150
194	1487	6141
195	1495	6133
