iter	Accuracy	MultiClass
0	0.4857142857	2.224280318
1	0.5614285714	2.148560732
2	0.5714285714	2.091553068
3	0.6385714286	2.019450099
4	0.6828571429	1.946969562
5	0.7085714286	1.888262278
6	0.7242857143	1.839147202
7	0.71	1.77878498
8	0.7242857143	1.722583743
9	0.74	1.681895321
10	0.7514285714	1.64183368
11	0.77	1.609363022
12	0.7714285714	1.574669669
13	0.78	1.53084966
14	0.7814285714	1.493440265
15	0.7857142857	1.465791095
16	0.7985714286	1.435323592
17	0.81	1.404184278
18	0.8114285714	1.377217366
19	0.8142857143	1.348275215
20	0.8171428571	1.323359858
21	0.8257142857	1.296842571
22	0.8228571429	1.270719781
23	0.8285714286	1.247020757
24	0.8357142857	1.223360493
25	0.8371428571	1.203880928
26	0.8428571429	1.17950992
27	0.8428571429	1.157031431
28	0.8428571429	1.133735158
29	0.8485714286	1.11605881
30	0.8514285714	1.099392145
31	0.8471428571	1.084892309
32	0.8471428571	1.072164501
33	0.8628571429	1.0546055
34	0.8642857143	1.034165122
35	0.8714285714	1.019933572
36	0.8771428571	1.004231486
37	0.8771428571	0.988097158
38	0.8771428571	0.9728664748
39	0.88	0.9589822821
40	0.8842857143	0.9494928697
41	0.8814285714	0.9344509354
42	0.8842857143	0.9206397101
43	0.89	0.9082327806
44	0.8885714286	0.8978611401
45	0.89	0.8843917575
46	0.8957142857	0.872701098
47	0.8985714286	0.8634579468
48	0.8957142857	0.8533744278
49	0.9028571429	0.8422635765
50	0.9071428571	0.8319950943
51	0.9085714286	0.8222955104
52	0.9128571429	0.8115858527
53	0.9128571429	0.8029465791
54	0.9142857143	0.7936039814
55	0.9157142857	0.7852561838
56	0.9157142857	0.7744130654
57	0.9142857143	0.7648061469
58	0.9185714286	0.7550133533
59	0.92	0.7473652877
60	0.9214285714	0.7367586076
61	0.9228571429	0.729569622
62	0.9257142857	0.7209851197
63	0.9257142857	0.7129114387
64	0.9271428571	0.7059474137
65	0.9285714286	0.6990317786
66	0.9285714286	0.6910738367
67	0.9342857143	0.6846075293
68	0.9371428571	0.6753803605
69	0.9385714286	0.6696526618
70	0.9385714286	0.6615706041
71	0.94	0.6559825336
72	0.94	0.6501078467
73	0.94	0.6432853655
74	0.94	0.635810339
75	0.9414285714	0.6289721165
76	0.9428571429	0.6210137068
77	0.9428571429	0.6149161421
78	0.9442857143	0.6088317347
79	0.9457142857	0.6041137568
80	0.9457142857	0.6002978794
81	0.9442857143	0.5943965032
82	0.9442857143	0.5887999139
83	0.9471428571	0.5823482447
84	0.9485714286	0.5778773776
85	0.9485714286	0.5733875138
86	0.9485714286	0.568817083
87	0.95	0.5638587778
88	0.9514285714	0.5599057931
89	0.95	0.5542654299
90	0.9514285714	0.5491218348
91	0.9514285714	0.5443292169
92	0.95	0.5402061894
93	0.95	0.5375333049
94	0.9528571429	0.5308630744
95	0.9528571429	0.5270059716
96	0.9542857143	0.5221448694
97	0.9542857143	0.5169804918
98	0.9542857143	0.512756323
99	0.9557142857	0.5091479525
100	0.9571428571	0.5052103823
101	0.9571428571	0.4998230864
102	0.9571428571	0.4957604441
103	0.9571428571	0.491315928
104	0.9571428571	0.4862708315
105	0.9585714286	0.4833408227
106	0.9614285714	0.4787300785
107	0.9614285714	0.4747200681
108	0.9628571429	0.4696470121
109	0.9614285714	0.466451051
110	0.9628571429	0.4640423481
111	0.9642857143	0.4599812576
112	0.9628571429	0.4570625436
113	0.9642857143	0.4537448803
114	0.9642857143	0.4497905498
115	0.9642857143	0.4454860697
116	0.9642857143	0.441921895
117	0.9657142857	0.4392501539
118	0.9657142857	0.4360221034
119	0.9657142857	0.4324351337
120	0.9657142857	0.4300366351
121	0.9685714286	0.426333171
122	0.9671428571	0.4216038036
123	0.9685714286	0.4186076308
124	0.97	0.4152990927
125	0.9685714286	0.412421603
126	0.9714285714	0.4091315206
127	0.9728571429	0.4064287988
128	0.9728571429	0.4034367598
129	0.9728571429	0.3996207638
130	0.9728571429	0.3964260417
131	0.9728571429	0.3931179761
132	0.9728571429	0.3892441531
133	0.9742857143	0.3859420927
134	0.9742857143	0.3833575999
135	0.9757142857	0.3800370807
136	0.9757142857	0.3770138622
137	0.9742857143	0.3746734647
138	0.9757142857	0.3724715964
139	0.9757142857	0.3709282851
140	0.9757142857	0.3678019377
141	0.9757142857	0.3646281726
142	0.9771428571	0.3615843799
143	0.9771428571	0.359078912
144	0.9771428571	0.3566068286
145	0.9785714286	0.3543749506
146	0.9785714286	0.3527592588
147	0.9785714286	0.3499815657
148	0.9785714286	0.3476413488
149	0.9785714286	0.3453652665
150	0.9785714286	0.3436491542
151	0.98	0.3422237131
152	0.98	0.3407378864
153	0.9785714286	0.3390569834
154	0.9785714286	0.3373130308
155	0.9785714286	0.3357565666
156	0.98	0.3334771811
157	0.98	0.3315912165
158	0.9814285714	0.3299385529
159	0.9814285714	0.3277907947
160	0.9814285714	0.3257042711
161	0.9814285714	0.3241817523
162	0.9814285714	0.3212734299
163	0.9814285714	0.3193557412
164	0.9814285714	0.3176635355
165	0.9814285714	0.3169279374
166	0.9814285714	0.3151351838
167	0.9814285714	0.3136989249
168	0.9814285714	0.3118767266
169	0.9814285714	0.3100240012
170	0.9814285714	0.3078928427
171	0.9814285714	0.3052271728
172	0.9814285714	0.3044749029
173	0.9814285714	0.3025828262
174	0.9828571429	0.3012523382
175	0.9814285714	0.2991127689
176	0.9814285714	0.2974464034
177	0.9828571429	0.2950543833
178	0.9828571429	0.2931433877
179	0.9828571429	0.2914362838
180	0.9828571429	0.2893488976
181	0.9828571429	0.2881267521
182	0.9842857143	0.2862439784
183	0.9842857143	0.2849029292
184	0.9842857143	0.2833042542
185	0.9842857143	0.2820495217
186	0.9842857143	0.2811608071
187	0.9871428571	0.2789218724
188	0.9885714286	0.2777306479
189	0.9885714286	0.2764685902
190	0.9885714286	0.2753051252
191	0.9885714286	0.274645722
192	0.9885714286	0.2733914765
193	0.9885714286	0.2722136004
194	0.9885714286	0.2712484962
195	0.9885714286	0.2697210657
196	0.99	0.268332862
197	0.99	0.2674071041
198	0.99	0.2666404926
199	0.99	0.2655998315
