Company,Item,Calories,"Calories from
Fat","Total Fat
(g)","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)","Weight Watchers
Pnts"
McDonald’s,Hamburger,250,80,9,3.5,0.5,25,520,31,2,6,12,247.5
McDonald’s,Cheeseburger,300,110,12,6,0.5,40,750,33,2,6,15,297
McDonald’s,Double Cheeseburger,440,210,23,11,1.5,80,1150,34,2,7,25,433
McDonald’s,McDouble,390,170,19,8,1,65,920,33,2,7,22,383
McDonald’s, Quarter Pounder® with Cheese,510,230,26,12,1.5,90,1190,40,3,9,29,502
McDonald’s,Double Quarter Pounder® with Cheese,740,380,42,19,2.5,155,1380,40,3,9,48,720
McDonald’s,Big Mac®,540,260,29,10,1.5,75,1040,45,3,9,25,534
McDonald’s,Big N’ Tasty®,460,220,24,8,1.5,70,720,37,3,8,24,452
McDonald’s,Big N’ Tasty® with Cheese,510,250,28,11,1.5,85,960,38,3,8,27,502
McDonald’s,Angus Bacon & Cheese,790,350,39,17,2,145,2070,63,4,13,45,775
McDonald’s,Angus Deluxe,750,350,39,16,2,135,1700,61,4,10,40,736
McDonald’s,Angus Mushroom & Swiss,770,360,40,17,2,135,1170,59,4,8,44,751
McDonald’s,Filet-O-Fish®,380,170,18,3.5,0,40,640,38,2,5,15,373.5
McDonald’s,McChicken ®,360,150,16,3,0,35,830,40,2,5,14,354
McDonald’s,McRib ®,500,240,26,10,0,70,980,44,3,11,22,499
McDonald’s,Premium Grilled Chicken Classic Sandwich,360,80,9,2,0,65,820,41,4,8,27,343
McDonald’s,Premium Crispy Chicken Classic Sandwich,510,200,22,3.5,0,45,990,56,3,10,24,499.5
McDonald’s,Premium Grilled Chicken Club Sandwich,460,150,17,6,0,90,1040,43,4,9,35,440
McDonald’s,Premium Crispy Chicken Club Sandwich,620,260,29,7,0,70,1200,57,3,11,31,607
