Character ID,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core)
1,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
2,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,,
3,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
4,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
5,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,
6,Severus Snape,Human,Male,Slytherin,Doe,,
7,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring
8,Horace Slughorn,Human,Male,Slytherin,,Cedar,Dragon Heartstring
9,Voldemort,Human,Male,Slytherin,,Yew,Phoenix Feather
10,Neville Longbottom,Human,Male,Gryffindor,,Cherry,Unicorn Hair
11,Remus Lupin,Werewolf,Male,Gryffindor,Wolf,Cypress,Unicorn Hair
12,Draco Malfoy,Human,Male,Slytherin,,Hawthorn,Unicorn Hair
13,Alastor Moody,Human,Male,,,,
14,Fred Weasley,Human,Male,Gryffindor,,,
15,Dolores Umbridge,Human,Female,Slytherin,Cat,Birch,Dragon Heartstring
16,Arthur Weasley,Human,Male,Gryffindor,Weasel,,
17,Cornelius Fudge,Human,Male,,,,
18,Sirius Black,Human,Male,Gryffindor,,,
19,George Weasley,Human,Male,Gryffindor,,,
20,Ginny Weasley,Human,Female,Gryffindor,Horse,,
21,Vernon Dursley,Human,Male,,,,
22,Bellatrix Lestrange,Human,Female,Slytherin,,Walnut,Dragon Heartstring
23,Lucius Malfoy,Human,Male,Slytherin,,Elm,Dragon Heartstring
24,Tom Riddle,Human,Male,Slytherin,,Yew,Phoenix Feather
25,Luna Lovegood,Human,Female,Ravenclaw,Hare,,
26,Molly Weasley,Human,Female,Gryffindor,,,
27,Dobby,House Elf,Male,,,,
28,Gilderoy Lockhart,Human,Male,Ravenclaw,,Cherry,Dragon Heartstring
29,Seamus Finnigan,Human,Male,Gryffindor,Fox,,
30,Griphook,Goblin,Male,,,,
31,Dudley Dursley,Human,Male,,,,
32,Petunia Dursley,Human,Female,,,,
33,Barty Crouch Sr.,Human,Male,,,,
34,Xenophilius Lovegood,Human,Male,,,,
35,Argus Filch,Human,Male,,,,
36,Cedric Diggory,Human,Male,Hufflepuff,,,
37,Percy Weasley,Human,Male,Gryffindor,,,
38,Sybill Trelawney,Human,Female,Ravenclaw,,Hazel,Unicorn Hair
39,Moaning Myrtle,Ghost,Female,Ravenclaw,,,
40,Aberforth Dumbledore,Human,Male,,Goat,,
41,Quirinus Quirrell,Human,Male,Ravenclaw,,Alder,Unicorn Hair
42,James Potter,Human,Male,Gryffindor,Stag,Mahogany,
43,Garrick Ollivander,Human,Male,Ravenclaw,,Hornbeam,Dragon Heartstring
44,Peter Pettigrew,Human,Male,Gryffindor,,Chestnut,Dragon Heartstring
45,Lily Potter,Human,Female,Gryffindor,Doe,Willow,
46,Oliver Wood,Human,Male,Gryffindor,,,
47,Nearly Headless Nick,Ghost,Human,Gryffindor,,,
48,Kreacher,House Elf,Male,,,,
49,Igor Karkaroff,Human,Male,,,,
50,Rolanda Hooch,Human,Female,,,,
51,Rufus Scrimgeour,Human,Male,,,,
52,Lee Jordan,Human,Male,Gryffindor,,,
53,Scabior,Human,Male,Slytherin,,,
54,Helena Ravenclaw,Ghost,Female,Ravenclaw,,,
55,Cho Chang,Human,Female,Ravenclaw,Swan,,
56,Kingsley Shacklebolt,Human,Male,,Lynx,,
57,Rita Skeeter,Human,Female,,,,
58,Stanley Shunpike,Human,Male,,,,
59,Filius Flitwick,Human (Part-Goblin),Male,Ravenclaw,,,
60,Marge Dursley,Human,Female,,,,
61,Nymphadora Tonks,Human,Female,Hufflepuff,Jack rabbit,,
62,Elphias Doge,Human,Male,,,,
63,Narcissa Malfoy,Human,Female,Slytherin,,,
64,Bogrod,Goblin,Male,,,,
65,Lavender Brown,Human,Female,Gryffindor,,,
66,Rosmerta,Human,Female,,,,
67,Amos Diggory,Human,Male,,,,
68,Aragog,Acromantula,Male,,,,
69,Olympe Maxime,Half-Human/Half-Giant,Female,Beauxbatons Academy of Magic,,,
70,Corban Yaxley,Human,Male,Slytherin,,,
71,Cormac McLaggen,Human,Male,Gryffindor,,,
72,Susan Bones,Human,Female,Hufflepuff,,,
73,Bill Weasley,Human (Werewolf traits),Male,Gryffindor,,,
74,Angelina Johnson,Human,Female,Gryffindor,,,
75,Dean Thomas,Human,Male,Gryffindor,,,
