"Dist Code","Year","State Code","State Name","Dist Name","TOTAL AREA (1000 ha)","FOREST AREA (1000 ha)","BARREN AND UNCULTIVABLE LAND AREA (1000 ha)","LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha)","CULTIVABLE WASTE LAND AREA (1000 ha)","PERMANENT PASTURES AREA (1000 ha)","OTHER FALLOW AREA (1000 ha)","CURRENT FALLOW AREA (1000 ha)","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)","CROPING INTENSITY (Percent)"
"65","2000","5","Karnataka","Kolar","780.0","70.0","63.0","74.0","13.0","99.0","9.0","75.0","363.0","397.0","109.4"
"65","2001","5","Karnataka","Kolar","779.47","70.32","63.17","73.94","12.54","98.93","9.4","87.12","350.56","372.03","106.1"
"65","2002","5","Karnataka","Kolar","779.47","70.32","63.17","73.95","12.54","98.93","11.78","170.64","264.64","270.93","102.4"
"65","2003","5","Karnataka","Kolar","779.47","70.32","63.17","73.95","12.54","98.93","11.89","80.33","354.84","362.48","102.2"
"65","2004","5","Karnataka","Kolar","779.47","70.32","63.17","73.95","12.54","98.93","9.93","75.8","361.33","373.88","103.5"
"65","2005","5","Karnataka","Kolar","779.47","70.32","63.17","74.61","12.54","98.93","19.91","78.1","348.39","363.23","104.3"
"65","2006","5","Karnataka","Kolar","779.47","70.32","63.17","77.61","12.54","98.93","21.52","134.65","287.24","295.4","102.8"
"65","2007","5","Karnataka","Kolar","374.97","20.62","28.87","45.68","6.4","39.42","12.81","41.3","172.86","179.36","103.8"
"65","2008","5","Karnataka","Kolar","374.97","20.62","28.87","45.68","6.4","39.42","12.81","34.57","179.59","187.54","104.4"
"65","2009","5","Karnataka","Kolar","374.97","20.62","28.87","45.68","6.4","39.42","12.81","49.76","164.4","173.07","105.3"
"65","2010","5","Karnataka","Kolar","374.97","20.62","28.87","45.68","6.4","39.42","8.68","31.82","186.47","203.28","109.0"
"65","2011","5","Karnataka","Kolar","374.97","20.62","28.87","45.68","6.4","39.42","10.31","33.45","183.21","194.23","106.0"
"65","2012","5","Karnataka","Kolar","374.97","20.62","28.87","45.68","6.4","39.42","11.55","37.65","177.78","187.83","105.7"
"65","2013","5","Karnataka","Kolar","374.97","20.62","28.87","45.68","6.4","39.42","12.55","43.84","170.59","179.83","105.4"
"65","2014","5","Karnataka","Kolar","374.97","20.62","28.87","45.68","6.4","39.42","12.55","46.76","167.67","176.79","105.4"
"65","2015","5","Karnataka","Kolar","374.97","20.62","28.87","45.68","6.4","39.42","12.55","51.64","162.79","171.17","105.1"
"65","2016","5","Karnataka","Kolar","374.97","20.62","28.87","45.88","6.4","39.42","6.24","54.02","166.52","177.06","106.3"
"65","2017","5","Karnataka","Kolar","374.97","20.62","28.87","46.57","6.4","39.42","6.44","54.06","165.59","173.39","104.7"
"66","2000","5","Karnataka","Tumkur","1065.0","45.0","68.0","83.0","63.0","86.0","36.0","61.0","603.0","661.0","109.6"
"66","2001","5","Karnataka","Tumkur","1064.76","45.18","67.54","83.6","62.64","84.92","39.9","86.1","574.74","627.22","109.1"
"66","2002","5","Karnataka","Tumkur","1064.76","45.18","67.54","83.66","62.64","81.89","50.96","115.14","537.61","572.32","106.5"
"66","2003","5","Karnataka","Tumkur","1064.76","45.18","67.54","83.76","62.64","79.84","38.13","102.25","565.27","598.94","106.0"
"66","2004","5","Karnataka","Tumkur","1064.76","45.18","67.54","83.87","62.64","79.46","36.86","86.39","582.69","621.1","106.6"
"66","2005","5","Karnataka","Tumkur","1064.76","45.18","67.54","83.99","62.64","76.54","34.19","54.88","619.65","660.42","106.6"
