Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters),ANNUAL RAINFALL (Millimeters)
65,2000,5,Karnataka,Kolar,0,36,0,17,70,33,62,204,146,204,12,4,788
65,2001,5,Karnataka,Kolar,1,0,5,75,24,3,78,69,281,231,26,9,802
65,2002,5,Karnataka,Kolar,0,0,10,26,113,84,16,23,99,87,17,3,478
65,2003,5,Karnataka,Kolar,-1,-1,-1,10,3,67,89,115,105,175,13,0,577
65,2004,5,Karnataka,Kolar,2,1,14,33,172,30,164,38,176,113,28,0,771
65,2005,5,Karnataka,Kolar,1,0,11,24,154,81,120,138,224,306,125,15,1199
65,2006,5,Karnataka,Kolar,0,0,43,13,72,114,27,68,77,85,85,10,594
65,2007,5,Karnataka,Kolar,0,0.6,0,27.5,118.6,77.3,112.6,143.3,165.6,120.1,24.6,49.8,840
65,2008,5,Karnataka,Kolar,0,0,0,39,91,35,113,141,135,139,66,3,632
65,2009,5,Karnataka,Kolar,0.1,0,9.9,14.4,67.2,78.9,18,120.6,228.8,32.6,0,0,570.5
65,2010,5,Karnataka,Kolar,2,1,4,55,142,115,128,66,89,40,158,7,806
65,2011,5,Karnataka,Kolar,1,11,2,78,65,33,98,122,38,134,50,10,643
65,2012,5,Karnataka,Kolar,0,0,4.7,65.4,81.3,35.2,129.7,103.8,50,120.8,101.3,25.6,717.8
65,2013,5,Karnataka,Kolar,0,16.5,4.9,36.8,76.5,55.6,56.3,59.6,181.6,151.7,20.9,3.4,663.8
65,2014,5,Karnataka,Kolar,0,0,13.6,3.5,85.9,71.7,58.3,45.5,74.9,125.5,30.6,8.5,518
65,2015,5,Karnataka,Kolar,5.6,0,48.1,81.3,107.1,69.6,51,103.2,135.8,101.2,374.9,6,1083.8
65,2016,5,Karnataka,Kolar,9.1,0,3.7,0,150.1,120.8,183.1,28.4,25,14.4,2.7,95.3,632.6
65,2017,5,Karnataka,Kolar,11,0,24.9,32.6,136.8,93.9,37.3,137.2,276.5,365.7,44,8.4,1168.3
66,2000,5,Karnataka,Tumkur,0,20,0,23,49,34,36,222,134,263,3,1,785
66,2001,5,Karnataka,Tumkur,0,0,2,77,13,13,48,59,258,120,27,1,618
66,2002,5,Karnataka,Tumkur,10,23,3,13,88,78,29,38,90,125,23,1,521
66,2003,5,Karnataka,Tumkur,-1,-1,-1,27,2,45,64,96,28,214,7,0,480
