iter	Passed	Remaining
0	110	110184
1	175	87551
2	242	80467
3	304	75851
4	370	73631
5	430	71273
6	491	69662
7	552	68498
8	611	67345
9	676	67002
10	734	66044
11	794	65436
12	847	64363
13	906	63834
14	966	63490
15	1033	63565
16	1103	63833
17	1167	63685
18	1235	63811
19	1300	63722
20	1369	63855
21	1427	63466
22	1487	63184
23	1551	63076
24	1612	62895
25	1671	62625
26	1734	62516
27	1800	62492
28	1859	62247
29	1918	62021
30	1976	61787
31	2042	61783
32	2107	61742
33	2166	61558
34	2218	61165
35	2273	60878
36	2334	60758
37	2391	60548
38	2450	60392
39	2506	60164
40	2566	60034
41	2628	59943
42	2690	59887
43	2741	59575
44	2798	59398
45	2856	59234
46	2914	59102
47	2977	59058
48	3048	59165
49	3104	58989
50	3165	58907
51	3227	58843
52	3292	58833
53	3356	58807
54	3417	58720
55	3474	58573
56	3536	58503
57	3600	58469
58	3659	58364
59	3722	58314
60	3786	58281
61	3843	58151
62	3899	58001
63	3960	57923
64	4015	57756
65	4082	57779
66	4150	57800
67	4205	57639
68	4269	57603
69	4337	57628
70	4392	57467
71	4454	57410
72	4513	57319
73	4569	57184
74	4625	57050
75	4683	56938
76	4746	56896
77	4802	56770
78	4868	56752
79	4929	56689
80	4986	56574
81	5044	56471
82	5096	56303
83	5155	56217
84	5214	56137
85	5273	56047
86	5335	55989
87	5392	55885
88	5459	55880
89	5512	55742
90	5574	55679
91	5633	55597
92	5696	55551
93	5756	55485
94	5819	55433
95	5875	55329
96	5930	55208
97	5991	55147
98	6050	55062
99	6115	55041
100	6177	54988
101	6239	54936
102	6293	54811
103	6354	54747
104	6415	54682
105	6477	54631
106	6538	54569
107	6602	54535
108	6665	54486
109	6729	54447
110	6788	54365
111	6853	54338
112	6915	54281
113	6975	54215
114	7037	54160
115	7101	54115
116	7163	54060
117	7218	53955
118	7275	53866
119	7332	53774
120	7395	53726
121	7460	53689
122	7523	53646
123	7586	53593
124	7644	53508
125	7707	53465
126	7774	53443
127	7831	53351
128	7887	53254
129	7950	53207
130	8013	53156
131	8075	53102
132	8139	53061
133	8204	53021
134	8268	52981
135	8329	52915
136	8393	52875
137	8448	52774
138	8508	52704
139	8570	52646
140	8627	52559
141	8688	52501
142	8748	52427
143	8809	52366
144	8869	52302
145	8933	52253
146	9003	52241
147	9085	52304
148	9150	52261
149	9227	52288
150	9291	52243
151	9364	52246
152	9431	52215
153	9494	52159
154	9562	52128
155	9618	52037
156	9687	52017
157	9756	51992
158	9831	51999
159	9888	51915
160	9952	51863
161	10027	51872
162	10084	51781
163	10152	51752
164	10215	51698
165	10272	51611
166	10332	51537
167	10389	51453
168	10448	51376
169	10505	51291
170	10571	51252
171	10644	51240
172	10713	51212
173	10783	51192
174	10846	51134
175	10917	51112
176	10980	51055
177	11058	51067
178	11130	51049
179	11189	50973
180	11243	50877
181	11300	50791
182	11356	50701
183	11422	50657
184	11484	50595
185	11542	50512
186	11608	50467
187	11659	50360
188	11714	50266
189	11777	50208
190	11838	50144
191	11902	50089
192	11980	50096
193	12051	50068
194	12120	50037
195	12182	49974
196	12251	49938
197	12310	49862
198	12377	49820
199	12438	49754
200	12504	49708
201	12562	49629
202	12627	49575
203	12686	49501
204	12753	49458
205	12818	49407
206	12880	49344
207	12936	49257
208	12989	49162
209	13058	49124
210	13125	49082
211	13186	49014
212	13246	48942
213	13312	48893
214	13369	48814
215	13438	48775
216	13500	48713
217	13565	48661
218	13629	48605
219	13689	48535
220	13755	48485
221	13817	48421
222	13872	48337
223	13930	48259
224	13986	48177
225	14049	48116
226	14113	48059
227	14174	47993
228	14227	47900
229	14278	47800
230	14335	47721
231	14397	47659
232	14455	47585
233	14526	47551
234	14582	47470
235	14640	47395
236	14699	47322
237	14755	47242
238	14816	47176
239	14876	47109
240	14933	47029
241	14984	46934
242	15042	46860
243	15100	46787
244	15157	46710
245	15218	46645
246	15268	46547
247	15329	46482
248	15390	46417
249	15446	46338
250	15496	46242
251	15558	46180
252	15619	46118
253	15680	46053
254	15736	45975
255	15794	45902
256	15850	45824
257	15907	45749
258	15964	45675
259	16016	45585
260	16074	45513
261	16130	45435
262	16190	45370
263	16246	45294
264	16301	45214
265	16358	45140
266	16413	45061
267	16473	44994
268	16529	44917
269	16578	44824
270	16635	44749
271	16688	44667
272	16742	44585
273	16793	44497
274	16854	44433
275	16907	44352
276	16966	44285
277	17024	44214
278	17084	44151
279	17164	44137
280	17239	44111
281	17303	44055
282	17364	43994
283	17446	43985
284	17507	43923
285	17568	43860
286	17628	43795
287	17685	43722
288	17742	43649
289	17794	43566
290	17850	43492
291	17917	43444
292	17983	43394
293	18045	43333
294	18101	43259
295	18162	43198
296	18221	43131
297	18290	43088
298	18359	43044
299	18428	43000
300	18495	42950
301	18556	42888
302	18613	42816
303	18678	42765
304	18727	42674
305	18787	42609
306	18844	42537
307	18900	42464
308	18945	42366
309	18997	42285
310	19054	42214
311	19101	42120
312	19154	42042
313	19206	41960
314	19262	41888
315	19318	41815
316	19372	41740
317	19424	41659
318	19480	41587
319	19537	41516
320	19595	41449
321	19650	41376
322	19711	41315
323	19770	41248
324	19827	41179
325	19882	41106
326	19942	41044
327	20001	40979
328	20060	40913
329	20114	40837
330	20168	40763
331	20225	40695
332	20287	40635
333	20337	40552
334	20391	40478
335	20446	40406
336	20506	40343
337	20574	40297
338	20642	40249
339	20714	40209
340	20784	40167
341	20843	40103
342	20903	40040
343	20962	39974
344	21021	39910
345	21074	39835
346	21135	39773
347	21194	39709
348	21248	39636
349	21309	39575
350	21363	39500
351	21415	39423
352	21469	39350
353	21524	39279
