PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
500,Bird,Parakeet,131,Orange,Large,5.039767822529515,1,0,27,140,0,0
501,Rabbit,Rabbit,73,White,Large,16.086726854616735,0,0,8,235,0,0
502,Dog,Golden Retriever,136,Orange,Medium,2.0762862789067658,0,0,85,385,0,0
503,Bird,Parakeet,97,White,Small,3.339423254344144,0,0,61,217,1,0
504,Rabbit,Rabbit,123,Gray,Large,20.49809976164308,0,0,28,14,1,0
505,Dog,Labrador,70,Brown,Large,20.986260902397984,0,0,87,301,1,0
506,Bird,Parakeet,169,Brown,Small,10.90261279164483,1,0,70,440,1,0
507,Cat,Siamese,13,Orange,Large,7.252683192048298,1,0,3,137,0,1
508,Bird,Parakeet,49,Brown,Medium,24.59759785196193,1,1,69,405,0,0
509,Bird,Parakeet,60,Gray,Large,7.2959936546268205,0,0,73,231,1,0
510,Bird,Parakeet,130,Orange,Large,16.71878502032501,0,0,7,88,0,0
511,Rabbit,Rabbit,5,White,Small,29.078056385024258,1,0,60,462,0,1
512,Dog,Golden Retriever,172,Brown,Large,5.28772069800913,1,0,4,76,1,0
513,Cat,Siamese,27,Black,Large,28.28541175734656,1,0,5,135,0,0
514,Cat,Persian,160,Brown,Medium,6.303898538991391,1,0,11,404,0,1
515,Rabbit,Rabbit,149,White,Small,17.45585303267366,1,0,15,468,1,0
516,Cat,Persian,8,Orange,Small,11.933223646803594,1,1,64,405,1,0
517,Cat,Persian,50,White,Medium,28.98292944355295,1,0,13,109,0,1
518,Rabbit,Rabbit,67,Black,Large,8.932718841056172,1,1,7,352,1,0
519,Dog,Labrador,44,Gray,Small,12.590082060486855,0,1,6,300,0,0
520,Rabbit,Rabbit,125,Brown,Small,29.502943417807195,1,0,56,90,0,0
521,Cat,Persian,58,Orange,Large,16.557641344465722,0,0,64,423,1,0
522,Dog,Labrador,3,Gray,Large,15.57627335301635,1,0,50,369,1,1
523,Dog,Golden Retriever,86,White,Small,8.475576157915746,1,0,30,405,0,0
524,Bird,Parakeet,70,Orange,Large,21.3395432490028,1,0,22,413,0,0
