Sno,Gender,10th %,SSC Board,12th %,HSC Board,12th Stream,Degree %,Degree stream,Work exp,specialisation,Mba %,status,salary
1,M,67,Others,91,Others,Commerce,58,Sci&Tech,No,Mkt&HR,58.8,Placed,270000
2,M,79.33,Central,78.33,Others,Science,77.48,Sci&Tech,Yes,Mkt&Fin,66.28,Placed,200000
3,M,65,Central,68,Central,Arts,64,Comm&Mgmt,No,Mkt&Fin,57.8,Placed,250000
4,M,56,Central,52,Central,Science,52,Sci&Tech,No,Mkt&HR,59.43,Not Placed,
5,M,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,No,Mkt&Fin,55.5,Placed,425000
6,M,55,Others,49.8,Others,Science,67.25,Sci&Tech,Yes,Mkt&Fin,51.58,Not Placed,
7,F,46,Others,49.2,Others,Commerce,79,Comm&Mgmt,No,Mkt&Fin,53.29,Not Placed,
8,M,82,Central,64,Central,Science,66,Sci&Tech,Yes,Mkt&Fin,62.14,Placed,252000
9,M,73,Central,79,Central,Commerce,72,Comm&Mgmt,No,Mkt&Fin,61.29,Placed,231000
10,M,58,Central,70,Central,Commerce,61,Comm&Mgmt,No,Mkt&Fin,52.21,Not Placed,
11,M,58,Central,61,Central,Commerce,60,Comm&Mgmt,Yes,Mkt&HR,60.85,Placed,260000
12,M,69.6,Central,68.4,Central,Commerce,78.3,Comm&Mgmt,Yes,Mkt&Fin,63.7,Placed,250000
13,F,47,Central,55,Others,Science,65,Comm&Mgmt,No,Mkt&HR,65.04,Not Placed,
14,F,77,Central,87,Central,Commerce,59,Comm&Mgmt,No,Mkt&Fin,68.63,Placed,218000
15,M,62,Central,47,Central,Commerce,50,Comm&Mgmt,No,Mkt&HR,54.96,Not Placed,
16,F,65,Central,75,Central,Commerce,69,Comm&Mgmt,Yes,Mkt&Fin,64.66,Placed,200000
17,M,63,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,Yes,Mkt&Fin,62.54,Placed,300000
18,F,55,Central,67,Central,Commerce,64,Comm&Mgmt,No,Mkt&Fin,67.28,Not Placed,
19,F,63,Central,66,Central,Commerce,64,Comm&Mgmt,No,Mkt&HR,64.08,Not Placed,
20,M,60,Others,67,Others,Arts,70,Comm&Mgmt,Yes,Mkt&Fin,77.89,Placed,236000
21,M,62,Others,65,Others,Commerce,66,Comm&Mgmt,No,Mkt&HR,56.7,Placed,265000
22,F,79,Others,76,Others,Commerce,85,Comm&Mgmt,No,Mkt&Fin,69.06,Placed,393000
23,F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,No,Mkt&HR,68.81,Placed,360000
24,F,77.4,Others,60,Others,Science,64.74,Sci&Tech,Yes,Mkt&Fin,63.62,Placed,300000
25,M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,No,Mkt&Fin,74.01,Placed,360000
26,F,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,Yes,Mkt&Fin,65.33,Not Placed,
27,M,71,Others,79,Others,Commerce,66,Comm&Mgmt,Yes,Mkt&Fin,57.55,Placed,240000
28,M,63,Others,67,Others,Commerce,66,Comm&Mgmt,No,Mkt&HR,57.69,Placed,265000
29,M,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,Yes,Mkt&Fin,64.15,Placed,350000
30,M,62,Central,67,Central,Commerce,58,Comm&Mgmt,No,Mkt&Fin,51.29,Not Placed,
31,F,64,Central,73.5,Central,Commerce,73,Comm&Mgmt,No,Mkt&HR,56.7,Placed,250000
32,F,67,Central,53,Central,Science,65,Sci&Tech,No,Mkt&HR,58.32,Not Placed,
33,F,61,Central,81,Central,Commerce,66.4,Comm&Mgmt,No,Mkt&HR,62.21,Placed,278000
34,F,87,Others,65,Others,Science,81,Comm&Mgmt,Yes,Mkt&Fin,72.78,Placed,260000
35,M,62,Others,51,Others,Science,52,Others,No,Mkt&HR,62.77,Not Placed,
36,F,69,Central,78,Central,Commerce,72,Comm&Mgmt,No,Mkt&HR,62.74,Placed,300000
37,M,51,Central,44,Central,Commerce,57,Comm&Mgmt,No,Mkt&Fin,51.45,Not Placed,
38,F,79,Central,76,Central,Science,65.6,Sci&Tech,No,Mkt&HR,55.47,Placed,320000
39,F,73,Others,58,Others,Science,66,Comm&Mgmt,No,Mkt&HR,56.86,Placed,240000
40,M,81,Others,68,Others,Science,64,Sci&Tech,No,Mkt&Fin,62.56,Placed,411000
41,F,78,Central,77,Others,Commerce,80,Comm&Mgmt,No,Mkt&Fin,66.72,Placed,287000
42,F,74,Others,63.16,Others,Commerce,65,Comm&Mgmt,Yes,Mkt&HR,69.76,Not Placed,
43,M,49,Others,39,Central,Science,65,Others,No,Mkt&Fin,51.21,Not Placed,
44,M,87,Others,87,Others,Commerce,68,Comm&Mgmt,No,Mkt&HR,62.9,Placed,300000
45,F,77,Others,73,Others,Commerce,81,Comm&Mgmt,Yes,Mkt&Fin,69.7,Placed,200000
46,F,76,Central,64,Central,Science,72,Sci&Tech,No,Mkt&HR,66.53,Not Placed,
47,F,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,No,Mkt&HR,71.63,Not Placed,
48,M,63,Central,60,Central,Commerce,57,Comm&Mgmt,Yes,Mkt&Fin,54.55,Placed,204000
49,M,63,Others,62,Others,Commerce,68,Comm&Mgmt,No,Mkt&Fin,62.46,Placed,250000
50,F,50,Others,37,Others,Arts,52,Others,No,Mkt&HR,56.11,Not Placed,
51,F,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,No,Mkt&HR,62.98,Placed,200000
52,M,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,No,Mkt&HR,62.65,Not Placed,
53,F,40.89,Others,45.83,Others,Commerce,53,Comm&Mgmt,No,Mkt&HR,65.49,Not Placed,
54,M,80,Others,70,Others,Science,72,Sci&Tech,No,Mkt&HR,71.04,Placed,450000
55,F,74,Central,60,Others,Science,69,Comm&Mgmt,No,Mkt&HR,65.56,Placed,216000
56,M,60.4,Central,66.6,Others,Science,65,Comm&Mgmt,No,Mkt&HR,52.71,Placed,220000
57,M,63,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,No,Mkt&Fin,66.88,Placed,240000
58,M,68,Central,76,Central,Commerce,74,Comm&Mgmt,No,Mkt&Fin,63.59,Placed,360000
59,M,74,Central,62,Others,Science,68,Comm&Mgmt,No,Mkt&Fin,57.99,Placed,268000
60,M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,No,Mkt&Fin,56.66,Placed,265000
61,M,74,Central,70,Central,Science,72,Comm&Mgmt,Yes,Mkt&Fin,57.24,Placed,260000
62,M,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,No,Mkt&Fin,62.48,Placed,300000
63,F,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,No,Mkt&Fin,59.69,Placed,240000
64,M,61,Others,70,Others,Commerce,64,Comm&Mgmt,No,Mkt&HR,59.5,Not Placed,
65,M,80,Others,73,Others,Commerce,75,Comm&Mgmt,No,Mkt&Fin,58.78,Placed,240000
66,M,54,Others,47,Others,Science,57,Comm&Mgmt,No,Mkt&HR,57.1,Not Placed,
67,M,83,Others,74,Others,Science,66,Comm&Mgmt,No,Mkt&HR,58.46,Placed,275000
68,M,80.92,Others,78.5,Others,Commerce,67,Comm&Mgmt,No,Mkt&Fin,60.99,Placed,275000
69,F,69.7,Central,47,Central,Commerce,72.7,Sci&Tech,No,Mkt&HR,59.24,Not Placed,
70,M,73,Central,73,Central,Science,66,Sci&Tech,Yes,Mkt&Fin,68.07,Placed,275000
