Gender,10th %,SSC Board,12th %,HSC Board,12th Stream,Degree %,Degree stream,Work exp,specialisation,Mba %,status,salary,cgpa,iq,placement
M,67.0,Others,91.0,Others,Commerce,58.0,Sci&Tech,No,Mkt&HR,58.8,Placed,270000.0,5.9,106.0,0
M,79.33,Central,78.33,Others,Science,77.48,Sci&Tech,Yes,Mkt&Fin,66.28,Placed,200000.0,5.3,121.0,0
M,65.0,Central,68.0,Central,Arts,64.0,Comm&Mgmt,No,Mkt&Fin,57.8,Placed,250000.0,7.4,132.0,1
M,56.0,Central,52.0,Central,Science,52.0,Sci&Tech,No,Mkt&HR,59.43,Not Placed,,5.8,142.0,0
M,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,No,Mkt&Fin,55.5,Placed,425000.0,7.1,48.0,1
M,55.0,Others,49.8,Others,Science,67.25,Sci&Tech,Yes,Mkt&Fin,51.58,Not Placed,,5.7,143.0,0
F,46.0,Others,49.2,Others,Commerce,79.0,Comm&Mgmt,No,Mkt&Fin,53.29,Not Placed,,5.0,63.0,0
M,82.0,Central,64.0,Central,Science,66.0,Sci&Tech,Yes,Mkt&Fin,62.14,Placed,252000.0,6.1,156.0,0
M,73.0,Central,79.0,Central,Commerce,72.0,Comm&Mgmt,No,Mkt&Fin,61.29,Placed,231000.0,5.1,66.0,0
M,58.0,Central,70.0,Central,Commerce,61.0,Comm&Mgmt,No,Mkt&Fin,52.21,Not Placed,,6.0,45.0,1
M,58.0,Central,61.0,Central,Commerce,60.0,Comm&Mgmt,Yes,Mkt&HR,60.85,Placed,260000.0,6.9,138.0,1
M,69.6,Central,68.4,Central,Commerce,78.3,Comm&Mgmt,Yes,Mkt&Fin,63.7,Placed,250000.0,5.4,139.0,0
F,47.0,Central,55.0,Others,Science,65.0,Comm&Mgmt,No,Mkt&HR,65.04,Not Placed,,6.4,116.0,1
F,77.0,Central,87.0,Central,Commerce,59.0,Comm&Mgmt,No,Mkt&Fin,68.63,Placed,218000.0,6.1,103.0,0
M,62.0,Central,47.0,Central,Commerce,50.0,Comm&Mgmt,No,Mkt&HR,54.96,Not Placed,,5.1,176.0,0
F,65.0,Central,75.0,Central,Commerce,69.0,Comm&Mgmt,Yes,Mkt&Fin,64.66,Placed,200000.0,5.2,224.0,0
M,63.0,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,Yes,Mkt&Fin,62.54,Placed,300000.0,3.3,183.0,0
F,55.0,Central,67.0,Central,Commerce,64.0,Comm&Mgmt,No,Mkt&Fin,67.28,Not Placed,,4.0,100.0,0
F,63.0,Central,66.0,Central,Commerce,64.0,Comm&Mgmt,No,Mkt&HR,64.08,Not Placed,,5.2,132.0,0
M,60.0,Others,67.0,Others,Arts,70.0,Comm&Mgmt,Yes,Mkt&Fin,77.89,Placed,236000.0,6.6,120.0,1
M,62.0,Others,65.0,Others,Commerce,66.0,Comm&Mgmt,No,Mkt&HR,56.7,Placed,265000.0,7.1,151.0,1
F,79.0,Others,76.0,Others,Commerce,85.0,Comm&Mgmt,No,Mkt&Fin,69.06,Placed,393000.0,4.9,120.0,0
F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,No,Mkt&HR,68.81,Placed,360000.0,4.7,87.0,0
F,77.4,Others,60.0,Others,Science,64.74,Sci&Tech,Yes,Mkt&Fin,63.62,Placed,300000.0,4.7,121.0,0
M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,No,Mkt&Fin,74.01,Placed,360000.0,5.0,91.0,0
F,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,Yes,Mkt&Fin,65.33,Not Placed,,7.0,199.0,1
M,71.0,Others,79.0,Others,Commerce,66.0,Comm&Mgmt,Yes,Mkt&Fin,57.55,Placed,240000.0,6.0,124.0,1
M,63.0,Others,67.0,Others,Commerce,66.0,Comm&Mgmt,No,Mkt&HR,57.69,Placed,265000.0,5.2,90.0,0
M,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,Yes,Mkt&Fin,64.15,Placed,350000.0,7.0,112.0,1
M,62.0,Central,67.0,Central,Commerce,58.0,Comm&Mgmt,No,Mkt&Fin,51.29,Not Placed,,7.6,128.0,1
F,64.0,Central,73.5,Central,Commerce,73.0,Comm&Mgmt,No,Mkt&HR,56.7,Placed,250000.0,3.9,109.0,0
F,67.0,Central,53.0,Central,Science,65.0,Sci&Tech,No,Mkt&HR,58.32,Not Placed,,7.0,139.0,1
F,61.0,Central,81.0,Central,Commerce,66.4,Comm&Mgmt,No,Mkt&HR,62.21,Placed,278000.0,6.0,149.0,0
F,87.0,Others,65.0,Others,Science,81.0,Comm&Mgmt,Yes,Mkt&Fin,72.78,Placed,260000.0,4.8,163.0,0
M,62.0,Others,51.0,Others,Science,52.0,Others,No,Mkt&HR,62.77,Not Placed,,6.8,90.0,1
F,69.0,Central,78.0,Central,Commerce,72.0,Comm&Mgmt,No,Mkt&HR,62.74,Placed,300000.0,5.7,140.0,0
M,51.0,Central,44.0,Central,Commerce,57.0,Comm&Mgmt,No,Mkt&Fin,51.45,Not Placed,,8.1,149.0,1
F,79.0,Central,76.0,Central,Science,65.6,Sci&Tech,No,Mkt&HR,55.47,Placed,320000.0,6.5,160.0,1
F,73.0,Others,58.0,Others,Science,66.0,Comm&Mgmt,No,Mkt&HR,56.86,Placed,240000.0,4.6,146.0,0
M,81.0,Others,68.0,Others,Science,64.0,Sci&Tech,No,Mkt&Fin,62.56,Placed,411000.0,4.9,134.0,0
F,78.0,Central,77.0,Others,Commerce,80.0,Comm&Mgmt,No,Mkt&Fin,66.72,Placed,287000.0,5.4,114.0,0
F,74.0,Others,63.16,Others,Commerce,65.0,Comm&Mgmt,Yes,Mkt&HR,69.76,Not Placed,,7.6,89.0,1
M,49.0,Others,39.0,Central,Science,65.0,Others,No,Mkt&Fin,51.21,Not Placed,,6.8,141.0,1
M,87.0,Others,87.0,Others,Commerce,68.0,Comm&Mgmt,No,Mkt&HR,62.9,Placed,300000.0,7.5,61.0,1
F,77.0,Others,73.0,Others,Commerce,81.0,Comm&Mgmt,Yes,Mkt&Fin,69.7,Placed,200000.0,6.0,66.0,1
F,76.0,Central,64.0,Central,Science,72.0,Sci&Tech,No,Mkt&HR,66.53,Not Placed,,5.3,114.0,0
F,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,No,Mkt&HR,71.63,Not Placed,,5.2,161.0,0
M,63.0,Central,60.0,Central,Commerce,57.0,Comm&Mgmt,Yes,Mkt&Fin,54.55,Placed,204000.0,6.6,138.0,1
M,63.0,Others,62.0,Others,Commerce,68.0,Comm&Mgmt,No,Mkt&Fin,62.46,Placed,250000.0,5.4,135.0,0
F,50.0,Others,37.0,Others,Arts,52.0,Others,No,Mkt&HR,56.11,Not Placed,,3.5,233.0,0
F,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,No,Mkt&HR,62.98,Placed,200000.0,4.8,141.0,0
M,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,No,Mkt&HR,62.65,Not Placed,,7.0,175.0,1
F,40.89,Others,45.83,Others,Commerce,53.0,Comm&Mgmt,No,Mkt&HR,65.49,Not Placed,,8.3,168.0,1
M,80.0,Others,70.0,Others,Science,72.0,Sci&Tech,No,Mkt&HR,71.04,Placed,450000.0,6.4,141.0,1
F,74.0,Central,60.0,Others,Science,69.0,Comm&Mgmt,No,Mkt&HR,65.56,Placed,216000.0,7.8,114.0,1
M,60.4,Central,66.6,Others,Science,65.0,Comm&Mgmt,No,Mkt&HR,52.71,Placed,220000.0,6.1,65.0,0
M,63.0,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,No,Mkt&Fin,66.88,Placed,240000.0,6.5,130.0,1
M,68.0,Central,76.0,Central,Commerce,74.0,Comm&Mgmt,No,Mkt&Fin,63.59,Placed,360000.0,8.0,79.0,1
M,74.0,Central,62.0,Others,Science,68.0,Comm&Mgmt,No,Mkt&Fin,57.99,Placed,268000.0,4.8,112.0,0
M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,No,Mkt&Fin,56.66,Placed,265000.0,6.9,139.0,1
M,74.0,Central,70.0,Central,Science,72.0,Comm&Mgmt,Yes,Mkt&Fin,57.24,Placed,260000.0,7.3,137.0,1
M,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,No,Mkt&Fin,62.48,Placed,300000.0,6.0,102.0,0
F,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,No,Mkt&Fin,59.69,Placed,240000.0,6.3,128.0,1
M,61.0,Others,70.0,Others,Commerce,64.0,Comm&Mgmt,No,Mkt&HR,59.5,Not Placed,,7.0,64.0,1
M,80.0,Others,73.0,Others,Commerce,75.0,Comm&Mgmt,No,Mkt&Fin,58.78,Placed,240000.0,8.1,166.0,1
M,54.0,Others,47.0,Others,Science,57.0,Comm&Mgmt,No,Mkt&HR,57.1,Not Placed,,6.9,96.0,1
M,83.0,Others,74.0,Others,Science,66.0,Comm&Mgmt,No,Mkt&HR,58.46,Placed,275000.0,5.0,118.0,0
M,80.92,Others,78.5,Others,Commerce,67.0,Comm&Mgmt,No,Mkt&Fin,60.99,Placed,275000.0,4.0,75.0,0
F,69.7,Central,47.0,Central,Commerce,72.7,Sci&Tech,No,Mkt&HR,59.24,Not Placed,,8.5,120.0,1
M,73.0,Central,73.0,Central,Science,66.0,Sci&Tech,Yes,Mkt&Fin,68.07,Placed,275000.0,6.3,127.0,1
M,82.0,Others,61.0,Others,Science,62.0,Sci&Tech,No,Mkt&Fin,65.45,Placed,360000.0,6.1,132.0,1
