"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Ash","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Kilocalories","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Manganese","Data.Niacin","Data.Pantothenic Acid","Data.Protein","Data.Refuse Percentage","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Household Weights.1st Household Weight","Data.Household Weights.1st Household Weight Description","Data.Household Weights.2nd Household Weight","Data.Household Weights.2nd Household Weight Description","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - IU","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"BUTTER","BUTTER,WITH SALT","1001","0","2.11","158","0","0.06","215","19","0.0","717","0","0","0.0","0.042","0.11","0.85","0","671","0.034","1.0","0.059999999","0.005","15.87","21.021","3.043","51.368","81.11","227.0","1 cup","14","1 tbsp","24","0.0","0.02","2","24","24","576","0.09","2499","684","0.17","0.003","0.0","2.32","7.0"
"BUTTER","BUTTER,WHIPPED,WITH SALT","1002","0","2.11","158","0","0.06","219","19","0.0","717","0","0","0.004","0.042","0.11","0.85","0","671","0.034","1.0","0.059999999","0.005","15.87","23.426","3.012","50.489","81.11","151.0","1 cup","9","1 tbsp","24","0.016","0.16","2","23","26","827","0.05","2499","684","0.13","0.003","0.0","2.32","7.0"
"BUTTER OIL","BUTTER OIL,ANHYDROUS","1003","0","0.0","193","0","0.0","256","22","0.0","876","0","0","0.0","0.003","0.01","0.28","0","824","0.005","0.0","0.0","0.001","0.24","28.732","3.694","61.924","99.48","205.0","1 cup","13","1 tbsp","4","0.001","0.0","0","3","5","2","0.01","3069","840","0.01","0.001","0.0","2.8","8.6"
"CHEESE","CHEESE,BLUE","1004","0","5.11","74","0","2.34","75","15","0.0","353","0","0","0.009","1.016","1.729","21.4","0","192","0.382","14.5","0.5","0.029","42.41","7.778","0.8","18.669","28.74","28.35","1 oz","17","1 cubic inch","528","0.04","0.31","23","387","256","1395","2.66","763","198","1.22","0.166","0.0","0.25","2.4"
"CHEESE","CHEESE,BRICK","1005","0","3.18","76","0","2.79","94","15","0.0","371","0","0","0.012","0.118","0.288","23.24","0","286","0.351","14.5","0.50999999","0.014","41.11","8.598","0.784","18.764","29.68","132.0","1 cup, diced","113","1 cup, shredded","674","0.024","0.43","24","451","136","560","2.6","1080","292","1.26","0.065","0.0","0.26","2.5"
"CHEESE","CHEESE,BRIE","1006","0","2.7","9","0","0.45","100","15","0.0","334","0","0","0.034","0.38","0.69","20.75","0","173","0.52","14.5","0.449999988","0.07","48.42","8.013","0.826","17.41","27.68","240.0","1 cup, melted","144","1 cup, sliced","184","0.019","0.5","20","188","152","629","2.38","592","174","1.65","0.235","0.0","0.24","2.3"
"CHEESE","CHEESE,CAMEMBERT","1007","0","3.68","12","0","0.46","72","15","0.0","300","0","0","0.038","0.63","1.364","19.8","0","240","0.488","14.5","0.460000008","0.028","51.8","7.023","0.724","15.259","24.26","246.0","1 cup","28","1 oz","388","0.021","0.33","20","347","187","842","2.38","820","241","1.3","0.227","0.0","0.21","2.0"
"CHEESE","CHEESE,CARAWAY","1008","0","3.28","0","0","3.06","93","0","0.0","376","0","0","0.021","0.18","0.19","25.18","0","262","0.45","14.5","0.0","0.031","39.28","8.275","0.83","18.584","29.2","28.35","1 oz","0","","673","0.024","0.64","22","490","93","690","2.94","1054","271","0.27","0.074","0.0","0.0","0.0"
"CHEESE","CHEESE,CHEDDAR","1009","0","3.93","85","0","1.28","105","16","0.0","403","0","0","0.01","0.08","0.413","24.9","0","258","0.375","13.9","0.519999981","0.027","36.75","9.391","0.942","21.092","33.14","132.0","1 cup, diced","244","1 cup, melted","721","0.031","0.68","28","512","98","621","3.11","1002","265","0.83","0.074","0.0","0.29","2.8"
"CHEESE","CHEESE,CHESHIRE","1010","0","3.6","0","0","4.78","103","0","0.0","387","0","0","0.012","0.08","0.413","23.37","0","220","0.293","14.5","0.0","0.046","37.65","8.671","0.87","19.475","30.6","28.35","1 oz","0","","643","0.042","0.21","21","464","95","700","2.79","985","233","0.83","0.074","0.0","0.0","0.0"
"CHEESE","CHEESE,COLBY","1011","0","3.36","82","0","2.57","95","15","0.0","394","0","0","0.012","0.093","0.21","23.76","0","257","0.375","14.5","0.519999981","0.015","38.2","9.28","0.953","20.218","32.11","132.0","1 cup, diced","113","1 cup, shredded","685","0.042","0.76","26","457","127","604","3.07","994","264","0.83","0.079","0.0","0.28","2.7"
"CHEESE","CHEESE,COTTAGE,CRMD,LRG OR SML CURD","1012","0","1.41","12","0","3.38","17","18","0.0","98","0","0","0.002","0.099","0.557","11.12","0","36","0.163","9.7","2.670000076","0.027","79.79","0.778","0.123","1.718","4.3","113.0","4 oz","210","1 cup, large curd (not packed)","83","0.029","0.07","8","159","104","364","0.4","140","37","0.43","0.046","0.0","0.08","0.0"
"CHEESE","CHEESE,COTTAGE,CRMD,W/FRUIT","1013","0","1.2","14","0","4.61","13","18","0.200000003","97","0","0","0.003","0.15","0.181","10.69","0","37","0.142","7.7","2.380000114","0.033","79.64","1.036","0.124","2.311","3.85","226.0","1 cup,  (not packed)","113","4 oz","53","0.04","0.16","7","113","90","344","0.33","146","38","0.53","0.068","1.4","0.04","0.4"
"CHEESE","CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD","1014","0","1.71","0","0","6.66","7","18","0.0","72","0","0","0.022","0.144","0.446","10.34","0","2","0.226","9.4","1.850000024","0.023","81.01","0.079","0.003","0.169","0.29","145.0","1 cup,  (not packed)","113","4 oz","86","0.03","0.15","11","190","137","330","0.47","8","2","0.46","0.016","0.0","0.01","0.0"
"CHEESE","CHEESE,COTTAGE,LOWFAT,2% MILKFAT","1015","0","1.36","6","0","3.66","10","16","0.0","86","0","0","0.007","0.108","0.253","11.83","0","19","0.198","9.9","3.670000076","0.041","80.69","0.443","0.07","0.979","2.45","226.0","1 cup,  (not packed)","113","4 oz","91","0.03","0.15","7","163","84","330","0.41","74","20","0.45","0.022","0.0","0.04","0.0"
"CHEESE","CHEESE,COTTAGE,LOWFAT,1% MILKFAT","1016","0","1.39","3","0","2.72","4","18","0.0","72","0","0","0.003","0.128","0.215","12.39","0","11","0.165","9.0","2.720000029","0.021","82.48","0.291","0.031","0.645","1.02","226.0","1 cup,  (not packed)","113","4 oz","61","0.028","0.14","5","134","86","406","0.38","41","11","0.63","0.068","0.0","0.01","0.1"
"CHEESE","CHEESE,CREAM","1017","0","1.32","41","0","4.07","110","27","0.0","342","0","0","0.011","0.145","0.57","5.93","0","359","0.125","2.4","3.210000038","0.02","54.44","8.62","1.437","19.292","34.24","232.0","1 cup","14","1 tbsp","98","0.019","0.38","9","106","138","321","0.51","1265","362","0.25","0.035","0.0","0.65","3.4"
"CHEESE","CHEESE,EDAM","1018","0","4.22","11","0","1.43","89","15","0.0","357","0","0","0.011","0.082","0.281","24.99","0","242","0.389","14.5","1.429999948","0.037","41.56","8.125","0.665","17.572","27.8","28.35","1 oz","198","1 package,  (7 oz)","731","0.036","0.44","30","536","188","965","3.75","825","243","1.54","0.076","0.0","0.24","2.3"
"CHEESE","CHEESE,FETA","1019","0","5.2","3","0","4.09","89","15","0.0","264","0","0","0.028","0.991","0.967","14.21","0","125","0.844","15.0","4.090000153","0.154","55.22","4.623","0.591","14.946","21.28","150.0","1 cup, crumbled","28","1 oz","493","0.032","0.65","19","337","62","1116","2.88","422","125","1.69","0.424","0.0","0.18","1.8"
"CHEESE","CHEESE,FONTINA","1020","0","3.79","32","0","1.55","116","15","0.0","389","0","0","0.014","0.15","0.429","25.6","0","258","0.204","14.5","1.549999952","0.021","37.92","8.687","1.654","19.196","31.14","132.0","1 cup, diced","108","1 cup, shredded","550","0.025","0.23","14","346","64","800","3.5","913","261","1.68","0.083","0.0","0.27","2.6"
"CHEESE","CHEESE,GJETOST","1021","0","4.75","0","0","42.65","94","0","0.0","466","0","0","0.04","0.813","3.351","9.65","0","334","1.382","14.5","0.0","0.315","13.44","7.879","0.938","19.16","29.51","28.35","1 oz","227","1 package,  (8 oz)","400","0.08","0.52","70","444","1409","600","1.14","1113","334","2.42","0.271","0.0","0.0","0.0"
"CHEESE","CHEESE,GOUDA","1022","0","3.94","10","0","2.22","114","15","0.0","356","0","0","0.011","0.063","0.34","24.94","0","164","0.334","14.5","2.220000029","0.03","41.46","7.747","0.657","17.614","27.44","28.35","1 oz","198","1 package,  (7 oz)","700","0.036","0.24","29","546","121","819","3.9","563","165","1.54","0.08","0.0","0.24","2.3"
"CHEESE","CHEESE,GRUYERE","1023","0","4.3","33","0","0.36","110","15","0.0","413","0","0","0.017","0.106","0.562","29.81","0","268","0.279","14.5","0.360000014","0.06","33.19","10.043","1.733","18.913","32.34","132.0","1 cup, diced","108","1 cup, shredded","1011","0.032","0.17","36","605","81","336","3.9","948","271","1.6","0.081","0.0","0.28","2.7"
"CHEESE","CHEESE,LIMBURGER","1024","0","3.79","15","0","0.49","90","15","0.0","327","0","0","0.038","0.158","1.177","20.05","0","339","0.503","14.5","0.49000001","0.08","48.42","8.606","0.495","16.746","27.25","134.0","1 cup","28","1 oz","497","0.021","0.13","21","393","128","800","2.1","1155","340","1.04","0.086","0.0","0.23","2.3"
"CHEESE","CHEESE,MONTEREY","1025","0","3.55","78","0","0.68","89","15","0.0","373","0","0","0.011","0.093","0.21","24.48","0","192","0.39","14.5","0.5","0.015","41.01","8.751","0.899","19.066","30.28","132.0","1 cup, diced","113","1 cup, shredded","746","0.032","0.72","27","444","81","536","3.0","769","198","0.83","0.079","0.0","0.26","2.5"
"CHEESE","CHEESE,MOZZARELLA,WHL MILK","1026","0","3.28","57","0","2.19","79","15","0.0","300","0","0","0.03","0.104","0.141","22.17","0","174","0.283","17.0","1.029999971","0.03","50.01","6.573","0.765","13.152","22.35","112.0","1 cup, shredded","28","1 oz","505","0.011","0.44","20","354","76","627","2.92","676","179","2.28","0.037","0.0","0.19","2.3"
"CHEESE","CHEESE,MOZZARELLA,WHL MILK,LO MOIST","1027","0","2.91","63","0","2.47","89","15","0.0","318","0","0","0.009","0.094","0.071","21.6","0","192","0.27","16.1","1.00999999","0.016","48.38","7.027","0.778","15.561","24.64","28.35","1 oz","18","1 cubic inch","575","0.022","0.2","21","412","75","415","2.46","745","197","0.73","0.062","0.0","0.21","2.5"
"CHEESE","CHEESE,MOZZARELLA,PART SKIM MILK","1028","0","3.27","41","0","2.77","64","15","0.0","254","0","0","0.01","0.105","0.079","24.26","0","124","0.303","14.4","1.129999995","0.018","53.78","4.51","0.472","10.114","15.92","28.35","1 oz","0","","782","0.025","0.22","23","463","84","619","2.76","481","127","0.82","0.07","0.0","0.14","1.6"
"CHEESE","CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST","1029","0","3.72","44","0","3.83","54","14","0.0","302","0","0","0.011","0.119","0.09","25.96","0","133","0.329","16.3","0.600000024","0.101","46.46","5.73","0.626","12.67","20.03","132.0","1 cup, diced","113","1 cup, shredded","731","0.027","0.25","26","524","95","528","3.13","517","137","2.31","0.079","0.0","0.37","1.3"
"CHEESE","CHEESE,MUENSTER","1030","0","3.66","13","0","1.12","96","15","0.0","368","0","0","0.008","0.103","0.19","23.41","0","297","0.32","14.5","1.120000005","0.013","41.77","8.711","0.661","19.113","30.04","132.0","1 cup, diced","113","1 cup, shredded","717","0.031","0.41","27","468","134","628","2.81","1012","298","1.47","0.056","0.0","0.26","2.5"
"CHEESE","CHEESE,NEUFCHATEL","1031","0","1.37","27","0","3.59","74","0","0.0","253","0","0","0.011","0.21","0.575","9.15","0","239","0.155","3.0","3.190000057","0.022","63.11","5.784","0.97","12.79","22.78","28.35","1 oz","85","1 package,  (3 oz)","117","0.027","0.13","10","138","152","334","0.82","841","241","0.3","0.041","0.0","0.4","1.7"
"CHEESE","CHEESE,PARMESAN,GRATED","1032","0","8.03","31","0","4.06","88","15","0.0","431","0","0","0.085","0.114","0.325","38.46","0","117","0.486","17.7","0.899999976","0.029","20.84","8.375","1.173","17.301","28.61","100.0","1 cup","5","1 tbsp","1109","0.238","0.9","38","729","125","1529","3.87","442","120","2.26","0.049","0.0","0.26","1.9"
