,res_id,name,url,address,city,locality,cuisines,timings,average_cost_for_one,highlights,aggregate_rating,votes,scope
0,19000106,The Drowning Street,https://www.zomato.com/lucknow/the-drowning-street-gomti-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"TCG 3/3, Vibhuti Khand, Gomti Nagar, Lucknow",Lucknow,Gomti Nagar,"Cafe, North Indian, Chinese","12noon – 11:30pm (Mon-Thu),12noon – 12midnight (Fri-Sun)",600,"['Delivery', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Live Music', 'Rooftop', 'Table booking recommended', 'Wheelchair Accessible', 'Free Parking', 'Nightlife', 'Indoor Seating', 'Free Wifi', 'Air Conditioned', 'Smoking Area']",4.6,370,4.451709201
1,800894,Mubeen's,https://www.zomato.com/lucknow/mubeens-chowk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Ek Minara Masjid, Akbari Gate, Chowk, Lucknow",Lucknow,Chowk,Mughlai,7:30 AM to 12 Midnight (Mon-Sun),150,"['Dinner', 'Takeaway Available', 'No Alcohol Available', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating']",4.4,1838,4.374356721
2,18701292,Pirates of Grill,https://www.zomato.com/lucknow/pirates-of-grill-gomti-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Cyber Heights, Opposite Indra Gandhi Paradisthan, Vibhuti Khand, Gomti Nagar, Lucknow",Lucknow,Gomti Nagar,"North Indian, Mughlai, Continental","12 Noon to 3:30 PM, 6:30 PM to 11 PM",1000,"['Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Table booking recommended', 'Air Conditioned', 'Buffet']",4.9,2095,4.854580102
3,800468,Tunday Kababi,https://www.zomato.com/lucknow/tunday-kababi-2-aminabad?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"168/6, Khayali Ganj, Naaz Cinema Road, Aminabad, Lucknow",Lucknow,Aminabad,"Mughlai, Lucknowi",12:30 PM to 11:30 PM,150,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Catering Available', 'Indoor Seating', 'Air Conditioned']",4.8,4614,4.780972279
4,18671102,Burger Point,https://www.zomato.com/lucknow/burger-point-3-gomti-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, 4/489-B, Chacha Cycle Road, Vibhav Khand, Gomti Nagar, Lucknow, Lucknow",Lucknow,Gomti Nagar,"Burger, Sandwich, Wraps, Fast Food","11am – 10:30pm (Mon, Tue, Wed, Thu, Fri, Sun), 11:30am – 10:30pm (Sat)",150,"['Lunch', 'Delivery', 'Breakfast', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Free Parking', 'Air Conditioned']",4.3,725,4.251882817
5,18991962,Molecule Air Bar,https://www.zomato.com/lucknow/molecule-air-bar-gomti-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7th Floor, Riverside Mall, Vipin Khand, Gomti Nagar, Lucknow",Lucknow,Gomti Nagar,"North Indian, Continental, Chinese, Bar Food, Modern Indian",12 Noon to 1 AM,750,"['Lunch', 'Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Nightlife', 'Indoor Seating', 'Kid Friendly', 'Private Dining Area Available', 'Live Sports Screening', 'Fullbar', 'Rooftop', 'Free Wifi', 'Smoking Area']",4.5,622,4.417317624
6,18970077,The Hazelnut Factory,https://www.zomato.com/lucknow/the-hazelnut-factory-nirala-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"B-192, Rama Krishna Math, Nirala Nagar, Lucknow",Lucknow,Nirala Nagar,"Bakery, Desserts, Cafe",8:30am – 11pm (Mon-Sun),225,"['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Credit Card', 'Outdoor Seating', 'Free Wifi', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Desserts and Bakes']",4.7,419,4.546441858
7,800152,Idrish Hotel,https://www.zomato.com/lucknow/idrish-hotel-chowk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Raja Bazar, Opposite Patanala Police Station, Chowk, Lucknow",Lucknow,Chowk,Mughlai,"12 Noon to 3 PM, 6 PM to 8:15 PM (Mon-Sun)",150,"['No Alcohol Available', 'No Seating Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Cash']",4.6,2575,4.573945168
8,800098,Tunday Kababi,https://www.zomato.com/lucknow/tunday-kababi-aliganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Vivek Complex, Kapoorthala, Aliganj, Lucknow",Lucknow,Aliganj,"Mughlai, Lucknowi",11:30 AM to 11:30 PM (Mon-Sun),150,"['Delivery', 'Dinner', 'No Alcohol Available', 'Debit Card', 'Lunch', 'Takeaway Available', 'Credit Card', 'Cash', 'Indoor Seating', 'Air Conditioned']",4.4,1308,4.364704066
9,18387297,The Manish Eating Point,https://www.zomato.com/lucknow/the-manish-eating-point-gomti-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1/120, Viram Khand, Gomti Nagar, Lucknow",Lucknow,Gomti Nagar,"North Indian, Awadhi, Biryani",11 AM to 11 PM (Mon-Sun),250,"['Cash', 'No Alcohol Available', 'Debit Card', 'Takeaway Available', 'Lunch', 'Delivery', 'Dinner', 'Credit Card', 'Indoor Seating', 'Free Wifi', 'Air Conditioned', 'Digital Payments Accepted', 'Wifi', 'Free Parking', 'Table booking recommended']",3.9,1020,3.900270825
10,800896,Sardar Ji Ke Mashoor Chhole Bhature - Punjabi Zaika,https://www.zomato.com/lucknow/sardar-ji-ke-mashoor-chhole-bhature-punjabi-zaika-lalbagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"16/A, Near Novelty Cinema, Lalbagh, Lucknow",Lucknow,Lalbagh,Street Food,10 AM to 10 PM (Mon-Sun),100,"['Delivery', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Lunch', 'Cash', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",4.1,877,4.079839636
11,800969,Bajpayee Kachodi Bhandar,https://www.zomato.com/lucknow/bajpayee-kachodi-bhandar-hazratganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Bank of India, Nawal Kishore Road, Hazratganj, Lucknow",Lucknow,Hazratganj,"North Indian, Fast Food",7 AM to 7:30 PM,25,"['Breakfast', 'Lunch', 'Takeaway Available', 'Cash', 'No Alcohol Available', 'Dinner', 'Pure Veg', 'Free Parking', 'Outdoor Seating']",4.2,1307,4.178893621
12,800099,Mr. Brown,https://www.zomato.com/lucknow/mr-brown-aliganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"B 35, Sector P, Aliganj, Lucknow",Lucknow,Aliganj,"Fast Food, Desserts, Bakery",7 AM to 10:30 PM (Mon-Sun),200,"['Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Cash', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes', 'Pure Veg']",4.5,954,4.443361788
13,800276,Grandson Of Tunday Kababi,https://www.zomato.com/lucknow/grandson-of-tunday-kababi-chowk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"LDA Colony, Near Akbari Gate, Purani Chungi, Sector C1, Chowk, Lucknow",Lucknow,Chowk,"Mughlai, Lucknowi",12 Noon to 11 PM,150,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating']",4.6,925,4.532003243
14,800466,Sharma Ji Ki Chai,https://www.zomato.com/lucknow/sharma-ji-ki-chai-lalbagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"34, TN Road, Lalbagh, Lucknow",Lucknow,Lalbagh,Street Food,7 AM to 7 PM (Mon-Sun),25,"['Cash', 'No Alcohol Available', 'No Seating Available', 'Breakfast', 'Pure Veg']",4.8,1041,4.721387664
