"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"65","2000","5","Karnataka","Kolar","28.03","30.52","33.8","35.23","33.98","29.63","29.07","27.97","29.27","28.52","27.8","25.3"
"65","2001","5","Karnataka","Kolar","27.98","32.03","34.23","33.31","34.67","30.71","29.59","29.37","29.54","28.05","27.04","26.0"
"65","2002","5","Karnataka","Kolar","28.11","30.36","34.18","35.02","34.37","30.91","30.18","29.77","30.87","28.8","26.98","26.75"
"65","2003","5","Karnataka","Kolar","28.41","31.89","34.21","34.99","36.22","32.1","29.2","29.2","30.81","28.75","27.31","26.73"
"65","2004","5","Karnataka","Kolar","28.1","30.73","34.29","35.17","31.65","30.58","29.06","30.01","29.01","28.13","26.43","26.57"
"65","2005","5","Karnataka","Kolar","28.87","31.4","34.42","33.83","34.63","31.28","29.22","29.48","29.26","27.9","25.49","25.72"
"65","2006","5","Karnataka","Kolar","27.6","29.81","33.48","34.9","34.19","30.92","30.27","30.04","29.85","28.87","26.92","26.12"
"65","2007","5","Karnataka","Kolar","27.97","30.52","34.15","34.37","34.56","30.38","29.55","28.77","29.36","28.81","26.57","26.15"
"65","2008","5","Karnataka","Kolar","27.83","30.9","31.83","34.15","34.41","31.25","29.55","28.91","29.25","28.06","27.01","26.27"
"65","2009","5","Karnataka","Kolar","27.71","31.37","33.87","35.05","34.22","31.1","30.05","30.07","29.61","29.82","27.64","26.81"
"65","2010","5","Karnataka","Kolar","28.49","31.49","34.9","35.63","34.8","31.26","28.8","29.03","29.49","28.87","27.08","25.83"
"65","2011","5","Karnataka","Kolar","27.59","29.95","33.66","33.63","34.39","31.32","29.59","29.19","30.67","28.86","26.47","26.01"
"65","2012","5","Karnataka","Kolar","27.59","30.89","34.68","34.64","34.66","32.09","30.04","29.63","30.49","28.72","27.72","27.37"
"65","2013","5","Karnataka","Kolar","28.87","31.19","34.31","35.46","34.88","30.86","28.81","29.58","29.01","29.09","27.6","26.58"
