"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"65","2000","5","Karnataka","Kolar","15.75","17.6","18.4","21.67","21.55","20.71","19.88","20.41","20.33","19.1","17.18","14.77"
"65","2001","5","Karnataka","Kolar","15.52","17.94","19.44","20.43","22.67","20.95","20.83","20.57","20.19","19.07","17.71","15.47"
"65","2002","5","Karnataka","Kolar","15.65","16.27","19.39","22.14","22.36","21.15","21.42","20.97","21.52","19.82","17.65","16.21"
"65","2003","5","Karnataka","Kolar","15.96","17.8","19.41","22.11","24.21","22.33","20.44","20.4","21.46","19.77","17.98","16.2"
"65","2004","5","Karnataka","Kolar","15.65","16.64","19.49","22.29","19.64","20.82","20.3","21.2","19.66","19.15","17.1","16.03"
"65","2005","5","Karnataka","Kolar","16.42","17.31","19.63","20.95","22.63","21.52","20.46","20.67","19.91","18.92","16.16","15.19"
"65","2006","5","Karnataka","Kolar","15.14","15.71","18.69","22.02","22.18","21.16","21.51","21.24","20.5","19.89","17.59","15.59"
"65","2007","5","Karnataka","Kolar","15.51","16.43","19.35","21.49","22.56","20.62","20.79","19.96","20.01","19.83","17.24","15.61"
"65","2008","5","Karnataka","Kolar","15.37","16.81","17.04","21.27","22.4","21.48","20.79","20.11","19.9","19.08","17.68","15.73"
"65","2009","5","Karnataka","Kolar","15.26","17.28","19.08","22.18","22.21","21.34","21.29","21.27","20.26","20.84","18.31","16.28"
"65","2010","5","Karnataka","Kolar","16.04","17.4","20.11","22.75","22.79","21.5","20.04","20.23","20.14","19.89","17.75","15.3"
"65","2011","5","Karnataka","Kolar","15.13","15.86","18.87","20.75","22.39","21.56","20.84","20.38","21.32","19.88","17.14","15.48"
"65","2012","5","Karnataka","Kolar","15.13","16.8","19.89","21.76","22.66","22.32","21.28","20.82","21.14","19.74","18.39","16.83"
"65","2013","5","Karnataka","Kolar","16.41","17.1","19.51","22.58","22.87","21.1","20.05","20.77","19.66","20.11","18.27","16.04"
"65","2014","5","Karnataka","Kolar","18.86","16.52","18.83","22.54","22.47","22.64","21.33","20.86","20.88","19.96","17.76","16.57"
"65","2015","5","Karnataka","Kolar","18.86","16.52","18.83","22.54","22.47","22.64","21.33","20.86","20.88","19.96","17.11","16.77"
"66","2000","5","Karnataka","Tumkur","16.75","18.61","19.18","21.86","21.12","20.31","19.78","20.24","20.11","19.54","17.69","15.48"
"66","2001","5","Karnataka","Tumkur","16.66","18.89","20.06","21.1","21.99","20.48","20.23","19.93","19.85","19.28","18.61","16.24"
"66","2002","5","Karnataka","Tumkur","16.63","17.64","20.58","22.62","22.1","20.77","20.96","20.21","20.63","20.25","18.41","16.88"
"66","2003","5","Karnataka","Tumkur","17.16","19.32","20.48","22.47","23.68","22.35","21.14","20.59","20.41","19.97","18.71","16.79"
"66","2004","5","Karnataka","Tumkur","16.74","18.11","20.61","22.13","19.9","20.32","20.34","19.92","19.65","19.63","18.26","16.69"
"66","2005","5","Karnataka","Tumkur","17.45","18.62","20.37","21.7","22.9","21.16","20.22","20.1","19.55","19.2","17.04","16.33"
"66","2006","5","Karnataka","Tumkur","16.42","17.2","19.23","22.28","21.94","20.94","20.44","20.4","20.26","20.4","18.46","16.25"
"66","2007","5","Karnataka","Tumkur","16.58","17.63","20.65","22.3","22.11","21.03","20.69","20.03","19.37","19.8","17.7","16.58"
"66","2008","5","Karnataka","Tumkur","16.43","18.06","18.09","21.82","21.7","20.61","20.92","20.06","19.46","19.55","18.19","16.71"
"66","2009","5","Karnataka","Tumkur","16.3","18.77","19.86","22.45","22.03","21.12","20.32","20.87","19.65","20.23","18.87","17.34"
"66","2010","5","Karnataka","Tumkur","16.89","18.79","20.96","22.68","22.57","21.5","20.27","20.4","20.04","19.94","18.29","16.03"
"66","2011","5","Karnataka","Tumkur","15.91","16.89","19.85","21.13","21.7","20.65","20.34","20.21","20.09","20.38","17.98","16.6"
"66","2012","5","Karnataka","Tumkur","16.64","18.52","20.67","21.9","22.14","21.54","20.98","20.41","20.21","20.12","18.53","17.55"
"66","2013","5","Karnataka","Tumkur","17.6","18.41","20.52","23.0","22.59","20.17","19.59","20.16","19.42","20.11","18.8","16.45"
"66","2014","5","Karnataka","Tumkur","18.78","18.04","20.09","22.86","22.11","22.01","20.44","20.51","20.02","20.12","18.14","17.0"
"66","2015","5","Karnataka","Tumkur","18.78","18.04","20.09","22.86","22.11","22.01","20.44","20.51","20.02","20.12","18.23","17.99"
"67","2000","5","Karnataka","Mysore","17.47","19.22","19.84","21.54","20.92","20.22","19.41","19.91","19.84","19.46","18.26","16.21"
