"Dist Code","Year","State Code","State Name","Dist Name","JANUARY WATER DEFICIT (Millimeters)","FEBRUARY WATER DEFICIT (Millimeters)","MARCH WATER DEFICIT (Millimeters)","APRIL WATER DEFICIT (Millimeters)","MAY WATER DEFICIT (Millimeters)","JUNE WATER DEFICIT (Millimeters)","JULY WATER DEFICIT (Millimeters)","AUGUST WATER DEFICIT (Millimeters)","OCTOBER WATER DEFICIT (Millimeters)","NOVEMBER WATER DEFICIT (Millimeters)","DECEMBER WATER DEFICIT (Millimeters)"
"65","2000","5","Karnataka","Kolar","110.6","123.31","169.5","129.03","126.08","95.26","60.5","7.8","0.0","0.0","35.72"
"65","2001","5","Karnataka","Kolar","103.41","123.64","164.84","89.35","142.59","124.45","53.0","86.99","0.68","0.0","42.06"
"65","2002","5","Karnataka","Kolar","108.0","127.35","172.91","166.59","72.49","67.97","101.1","92.17","62.17","0.0","38.3"
"65","2003","5","Karnataka","Kolar","114.03","130.29","167.41","131.2","175.54","97.86","46.88","48.28","75.77","0.0","58.55"
"65","2004","5","Karnataka","Kolar","104.68","121.82","171.34","132.06","28.82","97.27","0.3","85.8","0.0","0.0","35.72"
"65","2005","5","Karnataka","Kolar","105.88","121.82","165.38","116.52","68.06","94.8","31.46","28.45","12.91","0.0","10.85"
"65","2006","5","Karnataka","Kolar","67.84","103.51","125.4","138.84","84.78","56.61","89.48","90.04","61.41","1.74","54.25"
"65","2007","5","Karnataka","Kolar","113.57","123.53","171.5","102.7","104.61","92.78","3.78","7.5","0.0","0.0","49.1"
"65","2008","5","Karnataka","Kolar","104.17","114.6","131.8","141.16","125.39","85.93","0.53","0.95","25.17","0.0","13.64"
"65","2009","5","Karnataka","Kolar","95.89","120.29","157.25","145.19","68.75","48.4","106.74","45.15","0.0","71.64","19.84"
"65","2010","5","Karnataka","Kolar","111.42","124.44","168.01","122.44","94.38","69.45","46.27","45.51","3.95","0.04","1.49"
"65","2011","5","Karnataka","Kolar","107.77","104.69","166.83","102.03","84.31","110.72","57.29","1.52","36.84","0.0","32.49"
"65","2012","5","Karnataka","Kolar","103.31","123.93","169.89","153.91","106.53","130.49","79.76","30.11","53.74","16.37","18.92"
"65","2013","5","Karnataka","Kolar","117.24","124.3","166.57","159.85","67.82","51.19","38.18","69.92","0.0","13.95","3.77"
"65","2014","5","Karnataka","Kolar","123.49","120.46","167.0","165.09","112.35","47.86","72.61","59.35","1.1","0.0","29.36"
"65","2015","5","Karnataka","Kolar","84.52","115.81","147.7","116.11","52.35","87.48","64.86","60.2","24.84","56.02","0.0"
"66","2000","5","Karnataka","Tumkur","119.44","127.31","172.65","131.84","121.0","93.44","61.51","26.18","7.64","0.0","58.07"
"66","2001","5","Karnataka","Tumkur","119.78","131.54","171.43","108.06","144.64","118.2","55.0","81.89","12.93","1.18","77.06"
"66","2002","5","Karnataka","Tumkur","123.31","137.81","182.18","170.7","57.75","61.67","95.37","89.09","73.55","0.01","62.81"
"66","2003","5","Karnataka","Tumkur","123.44","137.54","172.82","119.23","177.59","93.43","68.48","68.57","76.3","0.0","76.39"
"66","2004","5","Karnataka","Tumkur","118.11","132.88","178.25","131.17","45.96","96.47","11.72","71.81","6.01","5.74","72.17"
"66","2005","5","Karnataka","Tumkur","120.56","132.88","168.11","115.57","95.72","75.45","34.32","37.68","1.89","0.0","39.06"
"66","2006","5","Karnataka","Tumkur","113.19","128.12","143.39","151.09","77.53","62.67","79.27","84.33","33.97","26.45","78.67"
"66","2007","5","Karnataka","Tumkur","123.95","133.43","177.97","99.87","87.34","100.48","25.41","30.08","0.0","5.18","47.77"
"66","2008","5","Karnataka","Tumkur","111.95","119.86","146.56","140.66","121.66","80.7","12.43","17.22","14.01","0.1","45.32"
"66","2009","5","Karnataka","Tumkur","112.95","130.27","163.55","144.06","86.47","30.27","90.53","59.38","0.0","33.72","40.42"
"66","2010","5","Karnataka","Tumkur","117.0","130.28","172.99","109.46","100.3","73.83","54.65","60.57","6.3","2.16","19.55"
