Date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F),Date1,Month,diff_pressure
2009-01-01,37.8,35.0,12.7,29.7,26.4,36.8,274.0,0.0,0.0,0.0,40.0,34.0,4.0,27.0,29.762,29.596,41.4,59.0,40.0,2009-01-01,01,0.16600000000000037
2009-01-02,43.2,32.0,14.7,29.5,12.8,18.0,240.0,0.0,0.0,0.0,52.0,37.0,4.0,16.0,29.669,29.268,35.7,51.0,52.0,2009-01-02,01,0.4009999999999998
2009-01-03,25.7,60.0,12.7,29.7,8.3,12.2,290.0,0.0,0.0,0.0,41.0,6.0,8.0,35.0,30.232,29.26,25.3,38.0,41.0,2009-01-03,01,0.9719999999999978
2009-01-04,9.3,67.0,0.1,30.4,2.9,4.5,47.0,0.0,0.0,0.0,19.0,-0.0,7.0,35.0,30.566,30.227,12.7,20.0,32.0,2009-01-04,01,0.33899999999999864
2009-01-05,23.5,30.0,-5.3,29.9,16.7,23.1,265.0,0.0,0.0,0.0,30.0,15.0,5.0,13.0,30.233,29.568,38.0,53.0,32.0,2009-01-05,01,0.6649999999999991
2009-01-06,24.8,42.0,4.6,29.8,16.0,23.9,276.0,0.0,0.0,0.0,29.0,19.0,5.0,27.0,29.879,29.637,29.9,48.0,32.0,2009-01-06,01,0.24200000000000088
2009-01-07,34.2,60.0,21.6,29.7,20.4,30.0,276.0,0.0,0.0,0.0,39.0,27.0,8.0,46.0,29.86,29.602,38.0,54.0,39.0,2009-01-07,01,0.2579999999999991
2009-01-08,42.1,41.0,20.0,29.8,17.5,25.2,265.0,0.0,0.0,0.0,51.0,36.0,5.0,28.0,29.883,29.627,35.7,49.0,51.0,2009-01-08,01,0.2560000000000002
2009-01-09,30.3,46.0,11.4,30.0,6.9,10.6,292.0,0.0,0.0,0.0,41.0,19.0,8.0,27.0,30.446,29.575,24.2,36.0,41.0,2009-01-09,01,0.8710000000000022
2009-01-10,26.2,38.0,3.6,30.4,18.2,24.6,258.0,0.0,0.0,0.0,31.0,22.0,4.0,29.0,30.489,30.291,31.1,46.0,32.0,2009-01-10,01,0.1980000000000004
2009-01-11,30.1,41.0,9.0,30.3,17.0,24.6,270.0,0.0,0.0,0.0,36.0,26.0,5.0,29.0,30.421,30.112,31.1,44.0,36.0,2009-01-11,01,0.30900000000000105
