ItemId,ComputerId,ItemName,Comment,Unit,C/S/ID,DataType,BitPos,Address,MAX,MIN,ScaleMax,ScaleMin,Decimal,,,,,,,,
35827,10,L_R1SDW_SPDREF,R1 Screw Down WS Speed Reference (mps),,0,REAL : Float,0,0x16464,10000,-10000,10000,-10000,0,,,,,,,,
35828,10,L_R1SDD_SPDREF,R1 Screw Down DS Speed Reference (mps),,0,REAL : Float,0,0x16468,10000,-10000,10000,-10000,0,,,,,,,,
35829,10,L_R1SDL_SPDREF,R1 Screw Down LS Speed Reference (mps),,0,REAL : Float,0,0x1646c,10000,-10000,10000,-10000,0,,,,,,,,
35830,10,L_R1SDW_SPDFBK,R1 Screw Down WS Speed Feedback (mps),,0,REAL : Float,0,0x16470,10000,-10000,10000,-10000,0,,,,,,,,
35831,10,L_R1SDD_SPDFBK,R1 Screw Down DS Speed Feedback (mps),,0,REAL : Float,0,0x16474,10000,-10000,10000,-10000,0,,,,,,,,
35832,10,L_R1SDL_SPDFBK,R1 Screw Down LS Speed Feedback (mps),,0,REAL : Float,0,0x16478,10000,-10000,10000,-10000,0,,,,,,,,
35974,10,L_R1_ODG_AUX_B07,R1 ODG AUX output B07,,0,BOOL : Bit Data,7,0x1653c,1,0,1,0,0,,,,,,,,
83528,10,RM1_RUNDOWN_ID_HS,R! RUNDOWN ID,,0,TEXT : Text Data,0,0x26db0,,,,,,,,,,,,,
83530,10,L_R1SD_WS_GAP,R1 SCREW DOWN WORK SIDE GAP (MM),,0,REAL : Float,0,0x164f4,10000,-10000,10000,-10000,0,,,,,,,,
83531,10,L_R1SD_DS_GAP,R1 SCREW DOWN DRIVE SIDE GAP (MM),,0,REAL : Float,0,0x164f8,10000,-10000,10000,-10000,0,,,,,,,,
83532,10,L_R1SD_WS_SPDREF,R1 SCREW DOWN WS SPD REF (MPS),,0,REAL : Float,0,0x16464,10000,-10000,10000,-10000,0,,,,,,,,
83533,10,L_R1SD_DS_SPDREF,R1 SCREW DOWN DS SPD REF (MPS),,0,REAL : Float,0,0x16468,10000,-10000,10000,-10000,0,,,,,,,,
83534,10,L_R1SDLS_SPDREF,R1 SCREW DOWN LOW SPEED REF (MPS),,0,REAL : Float,0,0x1646c,10000,-10000,10000,-10000,0,,,,,,,,
83535,10,L_R1SD_WS_SPDFBK,R1 SCREW DOWN WS SPEED FBK (MPS),,0,REAL : Float,0,0x16470,10000,-10000,10000,-10000,0,,,,,,,,
83536,10,L_R1SD_DS_SPDFBK,R1 SCREW DOWN DS SPEED FBK (MPS),,0,REAL : Float,0,0x16474,10000,-10000,10000,-10000,0,,,,,,,,
83537,10,L_R1SDLS_SPDFBK,R1 SCREW DOWN LS SPEED FBK (MPS),,0,REAL : Float,0,0x16478,10000,-10000,10000,-10000,0,,,,,,,,
83538,10,L_R1SD_WS_CUR,R1 SCREW DOWN WS CURRENT (%),,0,INT : Signed 2 Byte Integer,0,0x2bb58,32767,-32768,32767,-32768,0,,,,,,,,
83539,10,L_R1SD_DS_CUR,R1 SCREW DOWN DS CURRENT (%),,0,INT : Signed 2 Byte Integer,0,0x2bb5a,32767,-32768,32767,-32768,0,,,,,,,,
83540,10,L_R1_CNT_PASS0,R1 CONTROL PASS ZERO,,0,BOOL : Bit Data,2,0x166b4,1,0,1,0,0,,,,,,,,
Date,Time,Milli Sec,L_R1SDW_SPDREF,L_R1SDD_SPDREF,L_R1SDL_SPDREF,L_R1SDW_SPDFBK,L_R1SDD_SPDFBK,L_R1SDL_SPDFBK,L_R1_ODG_AUX_B07,RM1_RUNDOWN_ID_HS,L_R1SD_WS_GAP,L_R1SD_DS_GAP,L_R1SD_WS_SPDREF,L_R1SD_DS_SPDREF,L_R1SDLS_SPDREF,L_R1SD_WS_SPDFBK,L_R1SD_DS_SPDFBK,L_R1SDLS_SPDFBK,L_R1SD_WS_CUR,L_R1SD_DS_CUR,L_R1_CNT_PASS0
06-05-2022,21:58:33,140,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,145,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,150,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,155,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,160,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,165,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,170,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,175,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,180,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,185,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,190,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,195,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,200,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,205,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,210,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,215,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,220,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,225,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,230,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,235,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,240,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,245,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,250,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,255,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,260,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,265,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,270,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,275,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,280,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,285,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,290,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,295,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,300,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,305,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,310,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,315,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,320,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,325,0,0,0,0,0,0,0,225726050,194.430008,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,330,0,0,0,0,0,0,0,225726050,194.432007,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,335,0,0,0,0,0,0,0,225726050,194.432007,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,340,0,0,0,0,0,0,0,225726050,194.432007,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,345,0,0,0,0,0,0,0,225726050,194.432007,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,350,0,0,0,0,0,0,0,225726050,194.432007,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,355,0,0,0,0,0,0,0,225726050,194.432007,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,360,0,0,0,0,0,0,0,225726050,194.432007,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,365,0,0,0,0,0,0,0,225726050,194.432007,194.35199,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,370,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,375,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,380,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
06-05-2022,21:58:33,385,0,0,0,0,0,0,0,225726050,194.430008,194.347992,0,0,0,0,0,0,0,0,1
